Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
183,13:58.76,,Matthew FORRESTER,25 SEP 2001,RSA,13f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1048
184,13:58.83,,Teagan FLANAGAN,,USA,2f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",21 FEB 2023,1048
185,13:59.40,,Garrett GOUGH,,USA,15f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1046
186,13:59.42,,Dylan THROOP,23 JUN 2003,USA,10f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1046
187,13:59.58,,Riley HOUGH,,USA,7f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1045
188,13:59.62,,Jack MCMAHON,,USA,11f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1045
188,13:59.62,,Dayton BROWN,,USA,4f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1045
190,13:59.80,,Jacob MCLEOD,22 MAR 2000,USA,11f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1044
191,13:59.96,,Daniel SIMMONS,,USA,2f2,,"The Track at New Balance, Boston, MA (USA) (i)",11 MAR 2023,1044
192,14:00.03,,Noah HUFNAGEL,02 JUL 1998,USA,1f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1043
193,14:00.08,,Chris THEODORE,,USA,5,,"Norton Sports Center, Louisville, KY (USA) (i)",23 FEB 2023,1043
194,14:00.21,,Christopher LEPORE,,USA,2f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1043
195,14:00.22,,Chris DEVANEY,22 NOV 1999,NZL,21f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1043
196,14:00.23,,Colin DALY,,USA,1f9,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1043
197,14:00.39,,Haftu STRINTZOS,27 AUG 1999,AUS,4,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",24 FEB 2023,1042
198,14:00.43,,Connor BURNS,31 DEC 2004,USA,14f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1042
199,14:00.52,,Luke HENSELER,,USA,6,,"Norton Sports Center, Louisville, KY (USA) (i)",23 FEB 2023,1042
200,14:00.64,,Lex YOUNG,28 FEB 2005,USA,3f2,,"The Track at New Balance, Boston, MA (USA) (i)",11 MAR 2023,1041
201,14:00.98,,Derek FEARON,,USA,5f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1040
202,14:01.27,,Cormac DALTON,01 SEP 1998,IRL,13,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,1039
203,14:01.37,,Zach KREFT,,USA,4,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",10 MAR 2023,1039
204,14:01.61,,Jared KREIS,20 DEC 2001,USA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 FEB 2023,1038
205,14:01.76,,Matthew KEARNEY,28 JUL 2000,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1037
206,14:01.97,,Brandon OLDEN,,USA,16f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1037
207,14:02.12,,Matthew FOWLER,,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 FEB 2023,1036
208,14:02.34,,Noah CAREY,,USA,13f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1035
209,14:02.37,,Ryan KREDELL,,USA,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1035
210,14:02.90,,Aidan O'GORMAN,,USA,1,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",24 FEB 2023,1033
211,14:03.07,,Drew KOLODGE,,USA,5f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1033
212,14:03.30,,Michael MORGAN,29 NOV 2002,IRL,9f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1032
213,14:03.72,,Isaac AKERS,06 MAY 1999,GBR,14,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,1031
214,14:03.88,,Blair MORGAN,29 MAY 1993,CAN,3f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1030
215,14:04.19,,Elias LINDGREN,,USA,17f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1029
216,14:04.35,,François GUILHOT,19 AUG 2001,FRA,6f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1028
217,14:04.57,,Tristian MERCHANT,,USA,2,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",24 FEB 2023,1028
218,14:04.58,,Ashraf ABDELMAGID,,USA,6f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1028
219,14:05.03,,Shane HENDERSON,,USA,2,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2023,1026
220,14:05.30,,Jack COTTRELL,,USA,3,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",24 FEB 2023,1025
221,14:05.34,,Samuel RIVERA,,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 FEB 2023,1025
222,14:05.45,,Nikodem DWORCZAK,02 MAR 1998,POL,7f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1025
223,14:05.47,,Owen LOCKYER,06 MAY 2003,CAN,3,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2023,1025
224,14:05.68,,Koby FRAAZA,,USA,2f9,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1024
225,14:05.86,,Carlos SANTOS,,USA,4,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2023,1023
226,14:05.91,,Weber LONG,,USA,1f10,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1023
227,14:05.94,,Yonas HAILE,,USA,3f9,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1023
228,14:06.04,,John BENNER,,USA,7f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1023
229,14:06.13,,Elyas AYYOUB,10 NOV 2002,RSA,12f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1022
229,14:06.13,,Will KENNEY,,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1022
231,14:06.17,,Joshua PHILLIPS,29 APR 1999,AUS,6,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",24 FEB 2023,1022
232,14:06.43,,Jacob IRELAND,,USA,5,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2023,1021
233,14:06.60,,Afewerki ZERU,10 OCT 1997,USA,6,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",10 MAR 2023,1021
234,14:06.70,,Samuel VINCENT,1992,CAN,18f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1020
235,14:06.86,,Matt AHO,,USA,1f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1020
236,14:06.89,,Liam BACK,01 JAN 2002,NZL,14f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1020
237,14:07.08,,Malte PROPP,29 SEP 1999,GER,3,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",24 FEB 2023,1019
238,14:07.17,,Karl THIESSEN,1999,USA,19f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1019
239,14:07.32,,Peter FOX,,USA,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1018
240,14:07.36,,James MANISCALCO,,USA,20f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1018
241,14:07.41,,Steven GOLDY,,USA,8f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1018
242,14:07.66,,Hector PAGAN,16 OCT 2001,PUR,1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",04 FEB 2023,1017
243,14:07.80,,Josh STONE,,USA,9f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1017
244,14:07.97,,Rusty KUJDYCH,,USA,8,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",24 FEB 2023,1016
245,14:08.16,,Charlie PARRISH,,USA,2f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1015
246,14:08.23,,Andrew JONES,,USA,7,,"Norton Sports Center, Louisville, KY (USA) (i)",23 FEB 2023,1015
247,14:08.27,,Assaf HARARI,03 JUL 2001,ISR,8,,"Norton Sports Center, Louisville, KY (USA) (i)",23 FEB 2023,1015
248,14:08.34,,Timofey GOLOKTIONOV,31 AUG 1999,RUS,1,,"LFK CSKA, Moskva (RUS) (i)",05 MAR 2023,1015
249,14:08.35,,Paul KNIGHT,,USA,1f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1015
250,14:08.55,,Max SVIENTY,,USA,4,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",10 MAR 2023,1014
251,14:08.57,,CarLee STIMPFEL,,USA,8f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1014
252,14:08.60,,Robert DIDONATO,,USA,21f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1014
253,14:08.65,,Jake BERTELSEN,11 MAY 1999,USA,4f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1014
254,14:08.67,,Victor SHITSAMA,28 SEP 1998,KEN,20f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1014
255,14:08.71,,Luke LABATTE,,USA,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1013
256,14:08.85,,Oliver NEWMAN,07 MAY 2000,GBR,9f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1013
257,14:08.87,,Cade BROWN,,USA,2f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1013
258,14:08.97,,Alec DANNER,,USA,3f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1013
259,14:09.01,,Eli MOSKOWITZ,08 JUL 1997,USA,10f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1012
259,14:09.01,,Jared HOWSE,2002,CAN,4f9,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1012
261,14:09.23,,Paul ARREDONDO,,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 FEB 2023,1012
262,14:09.30,,Aleksey POPOV,17 JUN 1987,RUS,2,,"LFK CSKA, Moskva (RUS) (i)",05 MAR 2023,1011
263,14:09.52,,Daniel BERNAL,,USA,2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",18 FEB 2023,1011
264,14:09.60,,Edouard MORIN-LUZUY,16 OCT 2002,FRA,10,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",24 FEB 2023,1010
265,14:09.74,,Elias SCHREML,12 OCT 2000,GER,15f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1010
266,14:09.89,,Clayton DUCHATSCHEK,14 MAR 1999,USA,4,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",24 FEB 2023,1009
267,14:09.91,,Alec FLEMING,,USA,5f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1009
268,14:10.19,,Yaseen ABDALLA,13 AUG 2001,SUD,2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 FEB 2023,1008
269,14:10.21,,Ryan KINNANE,,USA,15f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1008
270,14:10.22,,Joaquin MARTINEZ DE PINILLOS,,USA,7,,"Norton Sports Center, Louisville, KY (USA) (i)",23 FEB 2023,1008
271,14:10.31,,Clement DUIGOU,26 APR 1996,FRA,7,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",10 MAR 2023,1008
272,14:10.35,,Simon KELATI,,USA,8,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",10 MAR 2023,1008
273,14:10.41,,Potr SHVETSOV,14 JUL 1999,RUS,3,,"LFK CSKA, Moskva (RUS) (i)",05 MAR 2023,1008
274,14:10.50,,Zachary KINNE,,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 FEB 2023,1007
275,14:10.54,,Andrew MAH,01 FEB 2000,USA,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1007
276,14:10.76,,Zachary ERIKSON,,USA,3f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1006
276,14:10.76,,Jason RENZE,,USA,5f9,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1006
278,14:10.80,,Ben FLEISCHER,01 SEP 2000,USA,6f9,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1006
278,14:10.80,,Gus MCINTYRE,,USA,6f9,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1006
280,14:10.85,,Will MINNETTE,,USA,11,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",24 FEB 2023,1006
281,14:10.88,,Daniel ABDALA,,USA,11f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1006
282,14:10.91,,Matthew NEILL,10 OCT 2001,IRL,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1006
283,14:11.06,,Jamie DAILEY,,USA,5,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",24 FEB 2023,1005
284,14:11.13,,James CRAGIN,,USA,9,,"Norton Sports Center, Louisville, KY (USA) (i)",23 FEB 2023,1005
285,14:11.15,,Bastian MROCHEN,21 MAR 2002,GER,8f9,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1005
286,14:11.18,,Jacob WIGGERS,27 MAR 2001,USA,4f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1005
287,14:11.21,,Bryce CERKOWNIAK,,USA,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1005
288,14:11.43,,Caleb BOUTELLE,,USA,2,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,1004
289,14:11.61,,Jack AHO,,USA,8,,"Norton Sports Center, Louisville, KY (USA) (i)",23 FEB 2023,1003
290,14:11.85,,Trey RIOS,,USA,6,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",24 FEB 2023,1003
291,14:11.92,,Patrick KOON,,USA,4f2,,"The Track at New Balance, Boston, MA (USA) (i)",11 MAR 2023,1002
292,14:11.96,,Simon HEYS,,USA,5,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",10 MAR 2023,1002
293,14:11.97,,Rohann ASFAW,,USA,19f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1002
294,14:12.06,,Jaden KINGSLEY,,USA,10f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1002
295,14:12.09,,Ethan FRISONE,,USA,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 FEB 2023,1002
296,14:12.27,,Anish NANJAPPA,24 APR 2002,USA,6,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2023,1001
296,14:12.27,,Eric HAMER,23 MAR 1997,USA,22f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1001
298,14:12.36,,Ryan CHILD,,USA,5f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1001
299,14:12.76,,Obsaa FEDA,,USA,6f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1000
300,14:12.84,,John RILEY,,USA,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,999
301,14:12.95,,Enock KIPCHUMBA,,KEN,5,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",24 FEB 2023,999
302,14:13.04,,Zachary STEWART,,USA,14f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,999
303,14:13.07,,Remyo TIELSEMA,11 OCT 1990,NED,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 FEB 2023,999
304,14:13.29,,Jacob HUNTER,,USA,10,,"Norton Sports Center, Louisville, KY (USA) (i)",23 FEB 2023,998
305,14:13.31,,Ryan MEADOWS,,USA,10f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,998
306,14:13.50,,Max SANNES,09 JAN 2004,USA,7f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,997
307,14:13.84,,MacCallum ROWE,06 MAR 2003,NZL,6f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,996
308,14:13.98,,Thomas TERMOTE,27 JUN 2002,FRA,9f9,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,995
309,14:14.16,,Connor BLACK,10 FEB 1996,CAN,22f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,995
310,14:14.24,,Garrett STANFORD,,USA,2,,"The Podium, Spokane, WA (USA) (i)",17 FEB 2023,995
311,14:14.26,,Jacob STANFORD,,USA,3,,"The Podium, Spokane, WA (USA) (i)",17 FEB 2023,994
312,14:14.31,,Teddy BUCKLEY,,USA,4,,"The Podium, Spokane, WA (USA) (i)",17 FEB 2023,994
313,14:14.34,,Evan BRENNAN,,USA,7,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2023,994
314,14:14.42,,Ben OTIS,,USA,4f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,994
315,14:14.54,,Connor ACKLEY,,USA,11f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,994
316,14:14.63,,Jacob PYEATT,,USA,12f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,993
317,14:14.96,,Wouter VAN DEN AKKER,2003,NED,13f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,992
318,14:15.13,,Joseph SKOOG,,USA,12f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,992
319,14:15.23,,Max MURPHY,20 FEB 2002,USA,23f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,991
320,14:15.25,,Wondu SUMMA,,USA,2f10,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,991
321,14:15.29,,Ryan SHUMAKER,13 OCT 2000,USA,7,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",24 FEB 2023,991
322,14:15.34,,Merga GEMEDA,,USA,14f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,991
323,14:15.37,,Ben HARPER,,USA,8f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,991
324,14:15.53,,Salvador CAPETILLO,,USA,3f10,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,990
325,14:15.56,,Jett KNIGHT,,USA,4f10,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,990
326,14:15.57,,Scott NUTTER,09 OCT 2002,GBR,15f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,990
327,14:15.68,,Coen ROBERTS,,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,990
327,14:15.68,,Jayden NATS,,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,990
329,14:15.79,,Mhalicki BRONSON,,USA,7f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,989
330,14:15.89,,Max MAHON,01 NOV 2000,AUS,1f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,989
331,14:15.90,,Nathan WALKER,,USA,3,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,989
332,14:15.95,,Max NORES,17 JUN 1999,GER,8,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",24 FEB 2023,989
333,14:16.09,,Andrew LANE,,USA,4,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,988
334,14:16.22,,Gavin EHLERS,,USA,15f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,988
335,14:16.26,,Aleksey POLTANOV,11 OCT 1989,RUS,4,,"LFK CSKA, Moskva (RUS) (i)",05 MAR 2023,988
336,14:16.71,,Crawford HOPE,,USA,11,,"Norton Sports Center, Louisville, KY (USA) (i)",23 FEB 2023,986
337,14:17.06,,Luke MARSANSKIS,,USA,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,985
338,14:17.13,,John LUCEY,,USA,16f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,985
339,14:17.45,,Andrew CROMPTON,,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 FEB 2023,984
340,14:17.53,,Fraser SPROUL,,GBR,5f10,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,983
341,14:17.59,,Kenneth EASTERLING,,USA,12f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,983
342,14:17.77,,Henry CHAPMAN,,USA,12,,"Norton Sports Center, Louisville, KY (USA) (i)",23 FEB 2023,983
343,14:17.81,,Ryan HODGE,,USA,9f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,982
344,14:17.90,,Austin APPERSON,,USA,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,982
345,14:18.07,,Sebastien REED,,USA,9f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,982
346,14:18.09,,Jonathan CARMIN,13 JUN 2001,ISR,1,,"Convention Center, Albuquerque, NM (USA) (i)",25 FEB 2023,981
347,14:18.16,,Joseph MINOR-WILLIAMS,,USA,13f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,981
348,14:18.28,,Hunter WHITE,,USA,3,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",18 FEB 2023,981
348,14:18.28,,Ethan WECHSLER,,USA,13,,"Norton Sports Center, Louisville, KY (USA) (i)",23 FEB 2023,981
350,14:18.36,,Noel LOPEZ,,USA,2f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,981
351,14:18.46,,Shane COFFEY,24 APR 2001,IRL,12,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",24 FEB 2023,980
352,14:18.50,,Gabriel PLANTY,,USA,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,980
353,14:18.58,,Cole BULLOCK,,USA,5,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 FEB 2023,980
354,14:18.60,,Kabir CHAVAN,,USA,5f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,980
355,14:18.61,,Tanner CHADA,,USA,14f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,980
356,14:18.78,,William MUIRHEAD,,USA,3,,"Sports Performance Center, Lubbock, TX (USA) (i)",24 FEB 2023,979
357,14:18.88,,Acer IVERSON,,USA,12,,"Convention Center, Albuquerque, NM (USA) (i)",10 MAR 2023,979
358,14:19.03,,Jacob WHITE,,USA,3,,"Convention Center, Albuquerque, NM (USA) (i)",25 FEB 2023,978
359,14:19.09,,Hunter JONES,,USA,10f9,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,978
360,14:19.29,,Jonathan TEDESCHI,1994,CAN,16f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,977
361,14:19.39,,Coleman NASH,,USA,12,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",10 MAR 2023,977
362,14:19.46,,Brenton MADDOX,,USA,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,977
363,14:19.48,,Cory KENNEDY,,USA,7f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,977
364,14:19.69,,Cas KOPMELS,28 OCT 2000,NED,17f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,976
364,14:19.69,,Mason NORMAN,,USA,12f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,976
366,14:19.75,,Aden SMITH,,USA,7,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,976
367,14:19.77,,Santiago PROSSER,,USA,4,,"Idaho-Kibbe ASUI Activity Center, Moscow, ID (USA) (i)",24 FEB 2023,976
368,14:19.84,,Titus CHERUIYOT,,KEN,4,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",18 FEB 2023,976
369,14:19.93,,Sam WILHELM,,USA,13f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,975
370,14:20.40,,Jack IKENBERRY,,USA,3f2,,"Mackal Fieldhouse, Kingston, RI (USA) (i)",25 FEB 2023,974
371,14:20.41,,Vedang LAD,,USA,8f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,974
372,14:20.44,,Max WEHRLI,,USA,4,,"Convention Center, Albuquerque, NM (USA) (i)",25 FEB 2023,974
372,14:20.44,,Ian TWYMAN,,USA,16f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,974
374,14:20.51,,Ivan APPLETON,,USA,6f10,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,973
375,14:20.78,,Nikhil DENATALE,,USA,7f10,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,972
376,14:20.79,,Jona BODIRSKY,2001,GER,11f9,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,972
