Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
577,14:45.33,,Liam OUELLETTE,,USA,11f2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",24 FEB 2024,892
578,14:45.62,,Evan WHITE,,USA,7f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",19 FEB 2024,891
579,14:45.63,,Carter GORDY,,USA,8,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",02 FEB 2024,891
580,14:45.69,,Benjamin RAYMOND,1992,CAN,25f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,891
581,14:45.75,,Aaron DINZEO,17 DEC 1991,USA,1f1,,"Gordon Track, Harvard University, Boston, MA (USA) (i)",18 FEB 2024,890
582,14:45.79,,Thomas WHITE,,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,890
583,14:45.93,,Noah MURASMITH,,USA,7,,"The Podium, Spokane, WA (USA) (i)",25 FEB 2024,890
584,14:46.05,,Jack COTTRELL,,USA,8,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",23 FEB 2024,889
585,14:46.06,,Jacob IRELAND,22 AUG 2001,USA,11,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2024,889
586,14:46.19,,Maxwell MURPHY,,USA,9,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",02 FEB 2024,889
587,14:46.29,,Jackson PRATT,,USA,4f2,,"Holt Arena, Pocatello, ID (USA) (i)",09 FEB 2024,889
588,14:46.33,,Luke BAUN,,USA,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,888
589,14:46.40,,Nick STRAIN,,USA,12f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,888
590,14:46.45,,Luke JOHNSON,,USA,6,,"Norton Sports Center, Louisville, KY (USA) (i)",02 FEB 2024,888
591,14:46.47,,Zac SHAFFER,,USA,15,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,888
592,14:46.58,,Spencer HIELKEMA,,USA,10f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",21 FEB 2024,888
593,14:46.67,,Benjamin VANDENBRINK,,USA,3f2,,"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",24 FEB 2024,887
594,14:46.76,,Jonathon HRIVNAK,,USA,8f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",19 FEB 2024,887
595,14:46.89,,Erik GUNDERSEN,05 FEB 2001,NOR,1f2,,"Myers Fieldhouse, Mankato, MN (USA) (i)",23 FEB 2024,887
596,14:46.90,,Ezekiel HARLESS,,USA,20f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,887
597,14:46.96,,Ethan FINGERHUT,,USA,19f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,886
598,14:47.02,,Anthony DVORSKY,,USA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,886
599,14:47.08,,Junior ALLEN,,USA,3f2,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,886
600,14:47.30,,Patrick GARRATT,,USA,14,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 FEB 2024,885
601,14:47.35,,Stephen GARRETT,,USA,5,,"Armory Track&Field Center, New York, NY (USA) (i)",02 MAR 2024,885
602,14:47.43,,Brayton GAZERRO,,USA,15,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 FEB 2024,885
603,14:47.46,,Lea SAMUEL,,GBR,16,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,885
604,14:47.57,,Ryan CLOUGH,,USA,4,,"The Podium, Spokane, WA (USA) (i)",19 FEB 2024,885
605,14:47.72,,Cameron HINDLE,,USA,6f2,,"The Track at New Balance, Boston, MA (USA) (i)",19 FEB 2024,884
606,14:47.74,,Hunter WHITE,,USA,10,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",23 FEB 2024,884
606,14:47.74,,Aleksandr KUSTOV,05 NOV 1996,RUS,8,,"LFK CSKA, Moskva (RUS) (i)",25 FEB 2024,884
608,14:47.79,,Kieran DONNELLY,,USA,4,,"Armory Track&Field Center, New York, NY (USA) (i)",24 FEB 2024,884
609,14:48.32,,Jonathan THRUSH,,USA,16,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 FEB 2024,882
610,14:48.42,,Amruth NIRANJAN,,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,882
611,14:48.59,,Jesse KAAS,,USA,2f2,,"Myers Fieldhouse, Mankato, MN (USA) (i)",23 FEB 2024,881
612,14:48.77,,Micah MURPHY,,USA,1,,"The Podium, Spokane, WA (USA) (i)",09 FEB 2024,881
613,14:48.81,,Justin ASH,,USA,2,,"The Podium, Spokane, WA (USA) (i)",09 FEB 2024,881
614,14:49.02,,Dmitriy ZAKHAROV,20 JUN 1998,RUS,9,,"LFK CSKA, Moskva (RUS) (i)",25 FEB 2024,880
615,14:49.12,,Avinash BISSOONDIAL,,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,880
616,14:49.21,,Tommy GAFFEY,,USA,13f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,879
617,14:49.42,,Thomas NOVY,,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,879
618,14:49.56,,Nolan HOSBEIN,,USA,8,,"The Podium, Spokane, WA (USA) (i)",25 FEB 2024,878
619,14:49.67,,Cesar RAMIREZ,,USA,12,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",23 FEB 2024,878
620,14:49.77,,Robert RANDALL,,USA,13,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",23 FEB 2024,877
621,14:49.80,,John PECKHAM,,USA,5,,"The Podium, Spokane, WA (USA) (i)",19 FEB 2024,877
622,14:49.92,,Caleb SHUMAKER,,USA,17,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,877
623,14:50.05,,Saul VALDEZ,,USA,21f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,877
624,14:50.09,,Nicholas MOULAI,24 FEB 2000,NZL,2f1,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",24 FEB 2024,876
625,14:50.13,,Jacob HANSEN,,USA,15f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,876
626,14:50.33,,Jay SHANAHAN,,USA,4f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,876
627,14:50.50,,Evan TAYLOR,2004,CAN,5,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",09 FEB 2024,875
628,14:50.72,,Sebastian MARGETTS,2004,GER,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,874
629,14:50.78,,Ty DAVIS,,USA,14,,"The Podium, Spokane, WA (USA) (i)",23 FEB 2024,874
630,14:50.81,,Nicolas VALDIVIESO,,USA,1,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",09 FEB 2024,874
631,14:50.89,,Henry STUBENRAUCH,,USA,14,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",23 FEB 2024,874
632,14:50.95,,Caden SIMONE,17 JUN 2004,USA,18,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,874
633,14:51.01,,Kevin HARVEY,,USA,14,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",24 FEB 2024,874
634,14:51.31,,Gus MCINTYRE,,USA,13,,"Convention Center, Albuquerque, NM (USA) (i)",22 FEB 2024,873
635,14:51.33,,Dmitriy ZYUZIN,07 SEP 2000,RUS,10,,"LFK CSKA, Moskva (RUS) (i)",25 FEB 2024,873
636,14:51.34,,Owen NELSON,,USA,13,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2024,872
637,14:51.45,,Crawford KISER,,USA,9,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",26 FEB 2024,872
638,14:51.49,,Nick ABDALLA,,USA,4,,"Bob Devaney Sports Center, Lincoln, NE (USA) (i)",02 FEB 2024,872
639,14:51.50,,Mark RODRIGUEZ,,USA,6,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",19 FEB 2024,872
640,14:51.52,,Ryan KREDELL,,USA,5f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,872
641,14:51.76,,Dominick BEINE,,USA,5,,"Bob Devaney Sports Center, Lincoln, NE (USA) (i)",02 FEB 2024,871
642,14:51.87,,Parker MONG,,USA,8f1,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,871
643,14:51.92,,Andy TAYLOR,,USA,6f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,871
644,14:51.95,,Mario TAVARES,,USA,9,,"The Podium, Spokane, WA (USA) (i)",25 FEB 2024,871
645,14:52.03,,Damon GUTIERREZ,,USA,10,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",26 FEB 2024,870
646,14:52.17,,Zach HILLHOUSE,,USA,4f2,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,870
647,14:52.20,,Andrey TIMOSHIN,04 SEP 1988,RUS,11,,"LFK CSKA, Moskva (RUS) (i)",25 FEB 2024,870
648,14:52.21,,Noah WILLOWS,,USA,10,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",02 FEB 2024,870
649,14:52.45,,Angel CONTRERAS,,USA,1,,"Sports Performance Center, Lubbock, TX (USA) (i)",09 FEB 2024,869
650,14:52.48,,Sean CASTER,,USA,10,,"The Podium, Spokane, WA (USA) (i)",25 FEB 2024,869
651,14:52.52,,Tyler SURFACE,04 JUN 2006,USA,5f2,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,869
652,14:52.62,,Dylan BRILLIANT,,USA,7,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",19 FEB 2024,868
653,14:52.64,,Parker NOLD,,USA,19,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,868
654,14:52.66,,Jaxon NEWTON,,USA,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,868
655,14:52.82,,Dylan MAY,,USA,6,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",09 FEB 2024,868
655,14:52.82,,Jonah BIRD,,USA,2,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",16 FEB 2024,868
657,14:52.87,,George BRADY,,USA,7f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,868
658,14:53.04,,Josh BEAM,,USA,13f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",21 FEB 2024,867
659,14:53.08,,Nathan STINE,,USA,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,867
660,14:53.09,,Caleb MILLARD,,USA,9f1,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,867
661,14:53.20,,Roy GOMEZ,,USA,11,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",26 FEB 2024,867
662,14:53.37,,Drew BRILL,,USA,20,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,866
663,14:53.45,,Nikhil DENATALE,,USA,27f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,866
664,14:53.46,,Enock KIPCHUMBA,,KEN,15,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,866
665,14:53.60,,Lucas RACKERS,,USA,4f2,,"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",24 FEB 2024,865
666,14:53.65,,Gavin WHITE,17 JAN 2003,USA,14,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2024,865
667,14:53.66,,Charles CAVEN,,USA,10,,"Shelly Ellig Indoor T&F Facility, Fargo, ND (USA) (i)",24 FEB 2024,865
668,14:53.72,,Ryan GARZA,,USA,12,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",26 FEB 2024,865
669,14:53.74,,Josh RODGERS,,USA,14,,"Convention Center, Albuquerque, NM (USA) (i)",22 FEB 2024,865
670,14:53.91,,Colin MCCAULEY,,USA,15,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",23 FEB 2024,864
671,14:53.92,,Sam FULBRIGHT,,USA,15,,"The Podium, Spokane, WA (USA) (i)",23 FEB 2024,864
672,14:54.19,,Mario RUIZ,,USA,9,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",23 FEB 2024,863
673,14:54.37,,Yichen SUN,,USA,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,863
673,14:54.37,,Evan JAROLD,,USA,16,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,863
675,14:54.40,,Nicolas FERRETTI,,USA,2f1,,"Gordon Track, Harvard University, Boston, MA (USA) (i)",18 FEB 2024,863
676,14:54.65,,Ryan POHOLEK,27 MAR 1996,USA,3f1,,"Gordon Track, Harvard University, Boston, MA (USA) (i)",18 FEB 2024,862
677,14:54.73,,Will DURRACE,,USA,9,,"Norton Sports Center, Louisville, KY (USA) (i)",02 FEB 2024,862
678,14:54.75,,Jaden MERRICK,,USA,6f2,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,862
679,14:54.79,,Ned POTTER,11 OCT 2001,GBR,15,,"Convention Center, Albuquerque, NM (USA) (i)",22 FEB 2024,862
680,14:54.80,,Dan TORRILLO,,USA,6,,"Armory Track&Field Center, New York, NY (USA) (i)",02 MAR 2024,862
681,14:54.89,,Kevin JUMPER,,USA,15,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2024,861
682,14:54.99,,Dorian MIŠKULIN,22 MAR 1997,CRO,3,,"Velesajam Hall, Zagreb (CRO) (i)",17 FEB 2024,861
683,14:55.04,,Justin MORRIS,,USA,8,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",19 FEB 2024,861
684,14:55.13,,Carson HORSPOOL,,USA,16,,"The Podium, Spokane, WA (USA) (i)",23 FEB 2024,860
685,14:55.20,,Isaac MAHLER,,USA,17,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 FEB 2024,860
686,14:55.21,,Nehemiah CIONELO,20 JUL 2000,USA,7,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",09 FEB 2024,860
687,14:55.48,,Liem CHOT,,USA,22f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,859
688,14:55.63,,Raghav GOPALAKRISHNAN,,USA,10f1,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,859
689,14:55.75,,Sten BRAKSTAD,,USA,6,,"The Podium, Spokane, WA (USA) (i)",19 FEB 2024,859
690,14:55.77,,Logan BECKMIER,,USA,10,,"Norton Sports Center, Louisville, KY (USA) (i)",02 FEB 2024,858
691,14:55.79,,Owen THOMAS,,USA,5f2,,"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",24 FEB 2024,858
692,14:55.81,,Charles GUERRERA,,USA,1f3,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,858
693,14:55.84,,Ethan LONG,,USA,8,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",09 FEB 2024,858
694,14:55.95,,Nick TARDUGNO,,USA,8f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,858
695,14:55.98,,Grant KERN,,USA,10f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,858
696,14:56.04,,Brendan CAIN,,USA,21,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,858
697,14:56.29,,Keegan BARNETTE,,USA,16f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,857
698,14:56.45,,Drew ALLEN,,USA,4f1,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",23 FEB 2024,856
699,14:56.48,,Edward BAKER,,USA,4f1,,"Gordon Track, Harvard University, Boston, MA (USA) (i)",18 FEB 2024,856
700,14:56.56,,Adam GROVES,,USA,2,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",09 FEB 2024,856
701,14:56.58,,Aiden AMSHOFF,,USA,5f1,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",23 FEB 2024,856
702,14:56.69,,Asa GASPAR,,USA,4,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 JAN 2024,856
703,14:56.71,,Neil IBATA,,FRA,5f1,,"Gordon Track, Harvard University, Boston, MA (USA) (i)",18 FEB 2024,855
704,14:56.72,,Zander COBB,,USA,16,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",23 FEB 2024,855
705,14:56.73,,Brody KEMBLE,,USA,7,,"The Podium, Spokane, WA (USA) (i)",19 FEB 2024,855
706,14:56.77,,Cody SYMONDS,,USA,17f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,855
707,14:56.82,,Evan MYRAN,19 MAY 2003,USA,3f2,,"Myers Fieldhouse, Mankato, MN (USA) (i)",23 FEB 2024,855
708,14:56.91,,Matthew LEPINE,,USA,23f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,855
708,14:56.91,,Nathan MASI,,USA,6f1,,"Gordon Track, Harvard University, Boston, MA (USA) (i)",18 FEB 2024,855
710,14:57.08,,Briar NEVILLS,,USA,6f2,,"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",24 FEB 2024,854
711,14:57.16,,Adam BENDETSON,,USA,1f1,,"The Track at New Balance, Boston, MA (USA) (i)",19 FEB 2024,854
712,14:57.26,,Sean RYAN,,USA,7f2,,"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",24 FEB 2024,854
713,14:57.33,,Luke ARMENTROUT,,USA,10,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",09 FEB 2024,854
714,14:57.45,,Dominik LISICKY,,USA,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,853
715,14:57.51,,George DEGEN,,USA,7f1,,"Gordon Track, Harvard University, Boston, MA (USA) (i)",18 FEB 2024,853
716,14:57.83,,Owen ROGERS,,USA,6f2,,"Holt Arena, Pocatello, ID (USA) (i)",09 FEB 2024,852
717,14:58.01,,Albert FERRERAS,,USA,10f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,851
718,14:58.15,,Charlie COLLINS,,USA,18f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,851
719,14:58.32,,Andrew BLACKHAM,,USA,7f2,,"Holt Arena, Pocatello, ID (USA) (i)",09 FEB 2024,850
720,14:58.35,,Owen HOLLAND,,USA,5,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 JAN 2024,850
721,14:58.48,,Ryan HELINE,,USA,1,,"Bob Devaney Sports Center, Lincoln, NE (USA) (i)",16 FEB 2024,850
722,14:58.52,,Christopher BRENK,,USA,7,,"Bob Devaney Sports Center, Lincoln, NE (USA) (i)",02 FEB 2024,850
723,14:58.70,,Shane VOSTENAK,,USA,1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",02 FEB 2024,849
724,14:58.71,,Stephen LAVEY,,USA,13f2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",24 FEB 2024,849
725,14:58.78,,Maximus HAYNIA,,USA,1,,"Army-Gillis FH, West Point, NY (USA) (i)",17 FEB 2024,849
726,14:58.93,,Thomas FLEAR,,USA,9f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,848
727,14:59.10,,Eli GREGORY,,USA,8f2,,"Holt Arena, Pocatello, ID (USA) (i)",09 FEB 2024,848
728,14:59.14,,Brett KING,2005,CAN,19f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,848
729,14:59.19,,Charlie TEETER,,USA,26f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,848
730,14:59.25,,Thomas MCMAHON,,USA,2f3,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,847
731,14:59.28,,Austin ANTONY,,USA,4f2,,"Myers Fieldhouse, Mankato, MN (USA) (i)",23 FEB 2024,847
732,14:59.33,,Lars HOGNE,,USA,8f1,,"Gordon Track, Harvard University, Boston, MA (USA) (i)",18 FEB 2024,847
733,14:59.41,,Yevgeniy BUSHKOV,09 SEP 1986,RUS,12,,"LFK CSKA, Moskva (RUS) (i)",25 FEB 2024,847
734,14:59.45,,Will KOZLOWSKI,,USA,7f2,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,847
735,14:59.49,,Gudisa ADNOW,,USA,10,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",23 FEB 2024,847
736,14:59.51,,Beau GORBY,,USA,20f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,847
737,14:59.64,,Brady OTT,,USA,3f3,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,846
738,14:59.68,,Elias EVERIST,,USA,3,,"The Podium, Spokane, WA (USA) (i)",02 FEB 2024,846
738,14:59.68,,Jack VANKEMPEN,,USA,5f2,,"Myers Fieldhouse, Mankato, MN (USA) (i)",23 FEB 2024,846
740,14:59.85,,Eric ENRIQUEZ,,USA,17,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",23 FEB 2024,846
741,15:00.04,,Jacob BARROW,,USA,3f1,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",24 FEB 2024,845
742,15:00.10,,Justin BROWN,,USA,16,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",24 FEB 2024,845
743,15:00.18,,Nate POHLSANDER,,USA,6,,"Norton Sports Center, Louisville, KY (USA) (i)",27 JAN 2024,845
744,15:00.51,,Isaac FINK,,USA,6f2,,"Myers Fieldhouse, Mankato, MN (USA) (i)",23 FEB 2024,844
745,15:00.54,,Jacob RICKS,,USA,22,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,843
746,15:00.72,,Joseph CARROLL,,USA,11f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,843
747,15:00.99,,Titus KIRUI,25 FEB 2000,KEN,4,,"Bowen Fieldhouse, Ypsilanti, MI (USA) (i)",23 FEB 2024,842
748,15:01.05,,Lucas BERGERON,,USA,8f2,,"The Track at New Balance, Boston, MA (USA) (i)",19 FEB 2024,842
749,15:01.07,,Brady HOGAN,,USA,7f2,,"Myers Fieldhouse, Mankato, MN (USA) (i)",23 FEB 2024,842
750,15:01.35,,Ryan HARTMAN,16 JUN 2001,USA,16,,"Robert W. Plaster Center, Pittsburg, KS (USA) (i)",08 MAR 2024,841
751,15:01.50,,Jonas TEETER,,USA,4f3,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,840
752,15:01.88,,Steve SOPRANO,,USA,12f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,839
753,15:02.28,,Bora CELINKA,,USA,14f2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",24 FEB 2024,838
754,15:02.32,,Connor DAIGLE,,USA,13f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,838
755,15:02.41,,Patrick CAROLAN,,USA,23f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,838
756,15:02.55,,Jeron WISNER,,USA,5f3,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,837
757,15:02.59,,Aaron SCHIMKE,09 SEP 2004,USA,17,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,837
758,15:02.71,,Anders HEKKLI,,USA,2f1,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",21 FEB 2024,837
759,15:02.81,,Nathan ALTO,,USA,8f2,,"Myers Fieldhouse, Mankato, MN (USA) (i)",23 FEB 2024,836
760,15:02.90,,Matthew CONWAY,,USA,3,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",02 FEB 2024,836
761,15:03.13,,Sam FOWLER,,USA,17,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",24 FEB 2024,835
762,15:03.68,,Caden STRICKLAND,,USA,4,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",09 FEB 2024,834
763,15:03.73,,Jacob BRINK,,USA,6,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 JAN 2024,833
764,15:03.75,,Ben KUHN,13 SEP 2001,USA,16,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2024,833
765,15:04.36,,Sean MCNIESH,,USA,11,,"Shelly Ellig Indoor T&F Facility, Fargo, ND (USA) (i)",24 FEB 2024,832
766,15:04.37,,TJ HARKINS,,USA,8,,"Armory Track&Field Center, New York, NY (USA) (i)",24 FEB 2024,832
767,15:04.51,,Ray URE,,USA,1,,"Myers Fieldhouse, Mankato, MN (USA) (i)",10 FEB 2024,831
768,15:04.62,,Jacob HESS,,USA,7,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 JAN 2024,831
769,15:04.65,,Logan ROSS,,USA,9f2,,"The Track at New Balance, Boston, MA (USA) (i)",19 FEB 2024,831
770,15:04.72,,Matthew MACKAY,,GBR,16,,"Convention Center, Albuquerque, NM (USA) (i)",22 FEB 2024,830
771,15:04.84,,Caleb PYLE,,USA,8f2,,"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",24 FEB 2024,830
772,15:04.90,,Paul MAGUIRE,,USA,1,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",26 JAN 2024,830
773,15:04.95,,Kushan PATEL,,USA,30,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,830
774,15:05.07,,Nathan HAJEL,,USA,10f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,829
775,15:05.27,,Oliver BURNS,,USA,23,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,829
776,15:05.38,,Ethan DAVIS,,USA,18,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,828
777,15:05.40,,John WILSON,,USA,6f3,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,828
778,15:05.52,,Lucas FUTEY,,USA,14,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",26 FEB 2024,828
779,15:05.54,,Max JAFFE,,USA,7,,"Armory Track&Field Center, New York, NY (USA) (i)",02 MAR 2024,828
780,15:05.73,,Caleb KASPER,,USA,1f2,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,827
781,15:05.74,,Jeremiah GARCIA,,USA,15,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",26 FEB 2024,827
782,15:05.79,,Juan LUCAS,28 APR 2005,ESP,5,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",09 FEB 2024,827
783,15:05.83,,Divan DU PLOOY,22 NOV 2001,NAM,2,,"Sports Performance Center, Lubbock, TX (USA) (i)",09 FEB 2024,827
