Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
72,13:34.49,,Perry MACKINNON,30 DEC 1997,CAN,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1134
73,13:34.69,,Victor KIPROP,,KEN,5,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1133
74,13:35.18,,Johnathan RENIEWICKI,03 OCT 1995,USA,16f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1132
75,13:35.36,,Vincent MAURI,,USA,2f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1131
76,13:36.06,,Scott BEATTIE,04 DEC 1998,GBR,17f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1128
77,13:37.11,,Brodey HASTY,15 NOV 1999,USA,2,,"The Podium, Spokane, WA (USA) (i)",23 FEB 2024,1125
78,13:38.47,,Kanta SHIMIZU,03 MAY 1996,JPN,11,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 FEB 2024,1120
79,13:38.70,,Jeremy COUGHLER,03 NOV 1995,CAN,3f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1119
80,13:38.81,,Ethan COLEMAN,28 APR 2004,USA,1f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1119
81,13:38.86,,Daniel SIMMONS,,USA,1f1,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,1118
82,13:39.00,,Joey BERRIATUA,16 JUN 1995,USA,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1118
83,13:39.84,,Florian BREMM,14 AUG 2000,GER,4f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1115
84,13:40.16,,William AMPONSAH,11 DEC 1999,GHA,2f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1114
85,13:40.21,,George WHEELER,04 JUL 1998,GBR,5f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1114
86,13:40.87,,JaQuavious HARRIS,,USA,6f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1111
87,13:41.10,,Ian KIBIWOT,,KEN,7f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1110
88,13:42.08,,Ernest CHERUIYOT,,KEN,1,,"Sports Performance Center, Lubbock, TX (USA) (i)",23 FEB 2024,1107
89,13:42.27,,Matthew FORRESTER,25 SEP 2001,RSA,8f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1106
90,13:43.09,,Paul O'DONNELL,16 MAY 1998,IRL,9f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1103
91,13:43.26,,Denis KIPNGETICH,07 JAN 2003,KEN,13,,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1103
92,13:44.15,,Joshua ROMINE,,USA,3f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1099
93,13:44.56,,Ryan FORD,26 OCT 1997,USA,10f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1098
94,13:44.68,,Kidus MISGINA,,USA,4f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1097
95,13:44.88,,Aidan O'GORMAN,,USA,5f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1097
96,13:45.39,,Duncan FUEHNE,,USA,6f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1095
97,13:45.79,,Christopher ALFOND,03 JAN 1998,USA,7f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1094
98,13:45.90,,Ignacio FONTES,22 JUN 1998,ESP,16f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1093
99,13:46.18,,Eric CASAREZ,,USA,6,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1092
100,13:46.39,,Yaseen ABDALLA,13 AUG 2001,SUD,11f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1091
100,13:46.39,,Joey NOKES,,USA,2,,"Sports Performance Center, Lubbock, TX (USA) (i)",23 FEB 2024,1091
