Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
122,2:25.00,,Masato SAIKI,09 JAN 1995,JPN,5,,"Komazawa Olympic Park Athletic Stadium, Tokyo (JPN)",30 OCT 2021,960
123,2:25.11,,Tyler OLSON,,USA,2,,"Iowa-Recreation Building, Iowa City, IA (USA) (i)",11 DEC 2021,1025
124,2:25.15,,Guillaume LAURENT,17 JUN 1990,SUI,3f1,,"Stadion Hard, Langenthal (SUI)",13 MAY 2021,957
125,2:25.16,,Camden MARSHALL,01 MAY 2003,USA,1f1,,"Gladstein Fieldhouse Indiana Un., Bloomington, IN (USA) (i)",10 DEC 2021,1024
126,2:25.19,,Daniel GADOMSKI,24 OCT 1998,POL,6,,"Forest Stadium, Sopot (POL)",30 AUG 2021,956
127,2:25.20,,Ashwin BRIGGS,,USA,1,,"Navy-Wesley A. Brown FH, Annapolis, MD (USA) (i)",05 FEB 2021,1023
128,2:25.21,,Guillaume POULARD,12 OCT 1995,FRA,2,,"Stade Bréquigny, Rennes (FRA)",10 SEP 2021,956
128,2:25.21,,Hiroki MINAMOTO,24 NOV 1999,JPN,6,,"Komazawa Olympic Park Athletic Stadium, Tokyo (JPN)",30 OCT 2021,956
130,2:25.22,,Lukas KAUFLIN,25 JUL 2000,SUI,4f1,,"Stadion Hard, Langenthal (SUI)",13 MAY 2021,956
130,2:25.22,,Nils OHEIM,07 JUL 2002,GER,4,,"Nordanlage, Leipzig (GER)",21 JUL 2021,956
130,2:25.22,,Elias SCHREML,12 OCT 2000,GER,2f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",03 DEC 2021,1023
133,2:25.31,,Nicolas PAVONI,11 NOV 1996,ITA,1f1,,"Stadio Paolo Rosi, Roma (ITA)",25 APR 2021,954
134,2:25.32,,Jonathan CARMIN,13 JUN 2001,ISR,1,,"Hadar Yosef Stadium, Tel Aviv (ISR)",15 NOV 2021,954
135,2:25.33,,Andrzej KOWALCZYK,30 NOV 1998,POL,1f3,,"Stadion AWF, Kraków (POL)",08 MAY 2021,954
136,2:25.36,,Grzegorz PETRUSIEWICZ,16 MAY 1996,POL,7,,"Forest Stadium, Sopot (POL)",30 AUG 2021,953
137,2:25.43,,Josh LEWIN,,USA,2,,"Navy-Wesley A. Brown FH, Annapolis, MD (USA) (i)",05 FEB 2021,1018
138,2:25.51,,Oliwier MUTWIL,27 OCT 1999,POL,8,,"Forest Stadium, Sopot (POL)",30 AUG 2021,950
139,2:25.52,,Mohand Zine KHELAF,01 JAN 1998,CAN,3,,"Piste Ben Leduc, Montréal (CAN)",17 JUL 2021,950
140,2:25.53,,Peter ALKHOURY,28 JUN 1999,LBN,1,,Beirut (LBN),23 MAY 2021,949
141,2:25.55,,Yevgeniy VALITOV,13 AUG 1999,RUS,6,,"Salyut Stadion, Dolgoprudny (RUS)",24 JUL 2021,949
142,2:25.57,,Tim THACKER,,USA,1f1,,"Columbia International University, Columbia, SC (USA)",05 FEB 2021,949
143,2:25.63,,Marino BLOUDEK,18 JUL 1999,CRO,1,,"Stadion Kantrida, Rijeka (CRO)",01 SEP 2021,947
144,2:25.64,,Hugo JAMES,22 JUL 1999,FRA,6f1,,"Stade R. Quintard, Cerizay (FRA)",13 JUL 2021,947
145,2:25.65,,Gilbert BOIT,,KEN,3f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",16 JAN 2021,1013
146,2:25.75,,Jason HOFFMAN,23 JAN 2002,USA,3,,"Iowa-Recreation Building, Iowa City, IA (USA) (i)",11 DEC 2021,1011
147,2:25.80,,Aleksandr KOVRIZHNYKH,30 MAY 2000,RUS,5,,"SOK Luch, Yekaterinburg (RUS) (i)",07 JAN 2021,1010
148,2:25.81,,Maciej WYDERKA,29 JUL 2002,POL,2f1,,"Arena, Toruń (POL) (i)",18 JAN 2021,1010
148,2:25.81,,Jahanzib SHAHBAZ,,USA,1,,"Corps Physical Training Facility, Lexington, VA (USA) (i)",12 FEB 2021,1010
