Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
136,7.42,,Tonette DYER,28 MAR 1982,USA,1,,Air Force Academy (USA) (i),01 MAR 2003,1078
136,7.42,,Carmen BLAY,31 JUL 1973,ESP,1,,Valencia (ESP) (i),02 MAR 2003,1078
136,7.42,,Alisha SAMUEL,,TTO,4h1,,"Ames, IA (USA) (i)",12 DEC 2003,1078
143,7.43,,Katchi HABEL,22 OCT 1982,GER,2,,Dortmund (GER) (i),26 JAN 2003,1074
143,7.43,,Patricia GIRARD,08 APR 1968,FRA,1,,Reims (FRA) (i),26 JAN 2003,1074
143,7.43,,Claire ROONEY,23 AUG 1983,GBR,2,,Glasgow (GBR) (i),08 FEB 2003,1074
143,7.43,,Irina PRIVALOVA,22 NOV 1968,RUS,1h3,,Moskva (RUS) (i),10 FEB 2003,1074
143,7.43,,Katleen DE CALUWÉ,22 DEC 1976,BEL,2,,Gent (BEL) (i),16 FEB 2003,1074
143,7.43,,Kim SONOGNINI,23 APR 1982,USA,2,,"Salt Lake City, UT (USA) (i)",21 FEB 2003,1074
143,7.43,,Olesya FESKO,15 MAR 1981,RUS,2h2,,Moskva (RUS) (i),25 FEB 2003,1074
143,7.43,,Kristina ŽUMER,02 FEB 1980,SLO,2,,Ljubljana (SLO) (i),01 MAR 2003,1074
143,7.43,,Véronique MANG,15 DEC 1984,CMR,5,,Clermont-Ferrand (FRA) (i),01 MAR 2003,1074
143,7.43,,LaTasha JENKINS,19 DEC 1977,USA,9,,Athina (GRE) (i),06 MAR 2003,1074
143,7.43,,Shandria BROWN,07 JUL 1983,BAH,1,,"Boston, MA (USA) (i)",15 MAR 2003,1074
143,7.43,,Tianna MADISON,30 AUG 1985,USA,1sf1,,"Landover, MD (USA) (i)",16 MAR 2003,1074
155,7.44,,Nolle GRAHAM,12 SEP 1981,JAM,2,,"Cambridge, MA (USA) (i)",19 JAN 2003,1071
155,7.44,,Katja TENGEL,27 SEP 1981,GER,1,,Halle (GER) (i),25 JAN 2003,1071
155,7.44,,Tahesia HARRIGAN-SCOTT,15 FEB 1982,IVB,2h1,,"Johnson City, TN (USA) (i)",31 JAN 2003,1071
155,7.44,,Marina VASSARMIDOU,16 JUL 1972,GRE,1,,Agios Kosmas (GRE) (i),08 FEB 2003,1071
155,7.44,,Marina MAYDANOVA-MINDAREVA,22 AUG 1982,UKR,1,,Cardiff (GBR) (i),09 FEB 2003,1071
155,7.44,,Ivet LALOVA-COLLIO,18 MAY 1984,BUL,1,,Sofia (BUL) (i),15 FEB 2003,1071
155,7.44,,Pascal VAN ASSENDELFT,06 OCT 1979,NED,1h3,,Gent (BEL) (i),15 FEB 2003,1071
155,7.44,,Juanhong ZHU,05 DEC 1985,CHN,1,,Tianjin (CHN) (i),18 FEB 2003,1071
155,7.44,,Wang MAN,09 OCT 1976,CHN,1,,Tianjin (CHN) (i),18 FEB 2003,1071
155,7.44,,Nichole DENBY,10 OCT 1982,USA,2h2,,"Lincoln, NE (USA) (i)",28 FEB 2003,1071
155,7.44,,Angela WHYTE,22 MAY 1980,CAN,1,,"Moscow, ID (USA) (i)",07 MAR 2003,1071
155,7.44,,Courtney CHAMPION,10 JUN 1986,USA,4,,"New York, NY (USA) (i)",16 MAR 2003,1071
155,7.44,,Stephanie ADAMS,1983,USA,5h1,,"Ames, IA (USA) (i)",12 DEC 2003,1071
155,7.44,,Tiffany KENNEDY,04 JAN 1983,USA,5h1,,"Ames, IA (USA) (i)",12 DEC 2003,1071
155,7.44,,Damaris PARCHMENT,22 FEB 1984,USA,5h1,,"Ames, IA (USA) (i)",12 DEC 2003,1071
170,7.45,,Magdalene PANTALEON,24 MAR 1975,GRE,2,,Athina (GRE) (i),25 JAN 2003,1068
170,7.45,,Katrin KÄÄRT,10 OCT 1983,EST,1,,Tallinn (EST) (i),02 FEB 2003,1068
170,7.45,,Magdalena KHRISTOVA,25 FEB 1977,BUL,1,,Sofia (BUL) (i),02 FEB 2003,1068
170,7.45,,Brianna GLENN,18 APR 1980,USA,5,,"New York, NY (USA) (i)",07 FEB 2003,1068
170,7.45,,Jenny HUCUL,17 MAY 1988,CAN,3,,Saskatoon (CAN) (i),08 FEB 2003,1068
170,7.45,,Vincenza CALÍ,15 OCT 1983,ITA,1,,Modena (ITA) (i),15 FEB 2003,1068
170,7.45,,Ciara SHEEHY,12 AUG 1980,IRL,1,,Belfast (GBR) (i),15 FEB 2003,1068
170,7.45,,Audrey ROCHTUS,05 NOV 1982,BEL,3,,Gent (BEL) (i),16 FEB 2003,1068
170,7.45,,Irina SHEPETYUK,13 FEB 1982,UKR,6,,Sumy (UKR) (i),21 FEB 2003,1068
170,7.45,,Christine BLOOMFIELD,12 FEB 1968,GBR,1,,Birmingham (GBR) (i),22 FEB 2003,1068
170,7.45,,Kim WELLS,,USA,2,,Air Force Academy (USA) (i),01 MAR 2003,1068
170,7.45,,Elvira PANČIĆ,14 MAY 1980,SCG,3,,Athina (GRE) (i),04 MAR 2003,1068
170,7.45,,Kerri Ann MITCHELL,29 MAR 1983,CAN,1h1,,"Ames, IA (USA) (i)",08 MAR 2003,1068
183,7.46,,Donita HARMON,01 MAR 1983,USA,4,,"Houston, TX (USA) (i)",25 JAN 2003,1065
183,7.46,,Birgit ROCKMEIER,29 NOV 1973,GER,5,,Chemnitz (GER) (i),07 FEB 2003,1065
183,7.46,,Annika AMUNDIN,09 FEB 1977,SWE,1,,Göteborg (SWE) (i),08 FEB 2003,1065
183,7.46,,Riki HOLLAND,06 AUG 1979,USA,1sf1,,"Houston, TX (USA) (i)",15 FEB 2003,1065
183,7.46,,Lisha CHEN,10 APR 1981,CHN,1,,Yokohama (JPN) (i),22 FEB 2003,1065
183,7.46,,Marcia RICHARDSON,10 FEB 1972,GBR,2,,Birmingham (GBR) (i),22 FEB 2003,1065
183,7.46,,Emma RIENAS,15 OCT 1982,SWE,1,,Västerås (SWE) (i),23 FEB 2003,1065
183,7.46,,Yekaterina KONDRATYEVA,08 APR 1982,RUS,2h6,,Moskva (RUS) (i),25 FEB 2003,1065
183,7.46,,Jimyria HICKS,10 AUG 1980,USA,3sf2,,"Lincoln, NE (USA) (i)",28 FEB 2003,1065
183,7.46,,Manuela GRILLO,09 MAY 1977,ITA,4,,Genova (ITA) (i),01 MAR 2003,1065
183,7.46,,Fabienne BERET-MARTINEL,22 DEC 1977,FRA,4sf1,,Clermont-Ferrand (FRA) (i),01 MAR 2003,1065
183,7.46,,Margarita ANISIMOVA,02 OCT 1984,RUS,1,,Gomel (BLR) (i),02 MAR 2003,1065
183,7.46,,Maria KARASTAMATI,10 DEC 1984,GRE,,,Athina (GRE) (i),04 MAR 2003,1065
183,7.46,,Althea JOHNSON,12 FEB 1980,JAM,1h1,,"Boston, MA (USA) (i)",14 MAR 2003,1065
197,7.47,,Nancy CALLAERTS,11 AUG 1971,BEL,1,,Gent (BEL) (i),26 JAN 2003,1061
197,7.47,,Melanie ROBERTS,02 MAR 1978,GBR,1,,Manchester (GBR) (i),01 FEB 2003,1061
