Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
92,32:06.11,,Emma BATES,08 JUL 1992,USA,17,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2022,1134
93,32:08.57,,Maitane MELERO,20 FEB 1983,ESP,5f1,,"Stade Complexe Sportif Jean-Paul Chasseboeuf, Pacé (FRA)",28 MAY 2022,1132
94,32:08.96,,Moira STEWARTOVÁ,09 JUN 1995,CZE,6f1,,"Stade Complexe Sportif Jean-Paul Chasseboeuf, Pacé (FRA)",28 MAY 2022,1131
95,32:09.54,,Anna ARNAUDO,18 OCT 2000,ITA,7f1,,"Stade Complexe Sportif Jean-Paul Chasseboeuf, Pacé (FRA)",28 MAY 2022,1131
96,32:10.24,,Rosemary WANJIRU,09 DEC 1994,KEN,1,,"ND Soft Stadium, Tendo (JPN)",14 MAY 2022,1130
97,32:10.8h,,Aberash MANASBO,,ETH,3,,Hawassa (ETH),29 MAR 2022,1130
98,32:11.72,,Mekdes WOLDU,20 OCT 1992,FRA,8f1,,"Stade Complexe Sportif Jean-Paul Chasseboeuf, Pacé (FRA)",28 MAY 2022,1129
99,32:12.11,,Yuka ANDO,16 MAR 1994,JPN,5f2,,"Nagaragawa Stadium, Gifu (JPN)",23 SEP 2022,1128
100,32:13.01,,Madoka NAKANO,14 AUG 1991,JPN,5,,"National Stadium, Tokyo (JPN)",07 MAY 2022,1128
101,32:13.03,,Mikuni YADA,29 OCT 1999,JPN,6,,"National Stadium, Tokyo (JPN)",07 MAY 2022,1128
102,32:15.82,,Sayaka SATO,27 MAY 1994,JPN,5,,"Athletic Track, Abashiri (JPN)",13 JUL 2022,1125
103,32:16.16,,Yuka SUZUKI,14 SEP 1999,JPN,6f2,,"Nagaragawa Stadium, Gifu (JPN)",23 SEP 2022,1125
104,32:17.66,,Rachael Zena CHEBET,05 NOV 1996,UGA,2,,"Cote d'Or National Sports Complex, St Pierre (MRI)",11 JUN 2022,1124
105,32:18.01,,Yumi YOSHIKAWA,31 OCT 1990,JPN,7,,"National Stadium, Tokyo (JPN)",07 MAY 2022,1123
106,32:19.11,,Carmela CARDAMA,04 DEC 1996,ESP,10,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAY 2022,1122
107,32:19.27,,Camilla RICHARDSSON,14 SEP 1993,FIN,9,,"Olympiastadion, München (GER)",15 AUG 2022,1122
108,32:20.33,,Haruka YAMAGUCHI,07 JUL 1987,JPN,8,,"National Stadium, Tokyo (JPN)",07 MAY 2022,1121
109,32:20.35,,Leanne POMPEANI,25 JUN 1996,AUS,1,,"Lakeside Stadium, Melbourne (AUS)",15 DEC 2022,1121
110,32:20.73,,Fatima Ezzahra GARDADI,20 MAR 1992,MAR,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",02 FEB 2022,1121
111,32:20.82,,Abbie DONNELLY,02 SEP 1996,GBR,9f1,,"Stade Complexe Sportif Jean-Paul Chasseboeuf, Pacé (FRA)",28 MAY 2022,1121
112,32:21.5h,,Meseret GEBRE,17 FEB 1993,ETH,5,,Hawassa (ETH),29 MAR 2022,1120
113,32:21.98,,Jaci SMITH,05 JAN 1997,USA,5,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2022,1120
114,32:22.3h,,Meseret ABEBAYAHAU,28 JUN 1998,ETH,6,,Hawassa (ETH),29 MAR 2022,1119
115,32:22.58,,Irene SÁNCHEZ-ESCRIBANO,25 AUG 1992,ESP,2f1,,"Pista Municipal de Faro, Faro (POR)",09 APR 2022,1119
116,32:23.2h,,Zinash DEBEBE,12 OCT 1996,ETH,7,,Hawassa (ETH),29 MAR 2022,1119
117,32:24.4h,,Yetayesh MEKONNEN,,ETH,8,,Hawassa (ETH),29 MAR 2022,1118
118,32:25.14,,Silke JONKMAN,26 JAN 1997,NED,,,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1117
119,32:25.2h,,Buzunesh GETACHEW,18 APR 1997,ETH,9,,Hawassa (ETH),29 MAR 2022,1117
120,32:25.34,,Hannah IRWIN,23 JUN 1998,GBR,5,,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1117
121,32:25.70,,Eva DIETERICH,29 MAR 1999,GER,10f1,,"Stade Complexe Sportif Jean-Paul Chasseboeuf, Pacé (FRA)",28 MAY 2022,1116
122,32:25.82,,Beatriz ÁLVAREZ,16 DEC 1994,ESP,3f1,,"Pista Municipal de Faro, Faro (POR)",09 APR 2022,1116
123,32:26.22,,Winnie JEROTICH,27 NOV 1999,KEN,6,,"Athletic Track, Abashiri (JPN)",13 JUL 2022,1116
124,32:26.26,,Lauren HEYES,21 APR 1990,GBR,6,,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1116
125,32:26.51,,Maggie MONTOYA,02 MAY 1995,USA,11,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAY 2022,1116
126,32:27.25,,Abby NICHOLS,31 JAN 1997,USA,1,,"Hayward Field, Eugene, OR (USA)",13 MAY 2022,1115
127,32:27.95,,Jessica GIBBON,19 AUG 1996,GBR,7,,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1115
128,32:28.57,,Alessia ZARBO,11 SEP 2001,FRA,2,,"Hayward Field, Eugene, OR (USA)",13 MAY 2022,1114
129,32:28.7h,,Sandrafelis Chebet TUEI,20 JAN 1998,KEN,2,,Nairobi (KEN),15 APR 2022,1114
130,32:30.21,,Honoka TANAIKE,21 MAR 1997,JPN,3,,"Athletics Stadium, Fukagawa (JPN)",22 JUN 2022,1113
131,32:30.32,,Purity Temutai KOMEN,01 MAY 1998,KEN,2,,"Ulinzi Sports Complex, Langata, Nairobi (KEN)",20 APR 2022,1112
132,32:30.82,,Emily COVERT,,USA,3,,"Hayward Field, Eugene, OR (USA)",13 MAY 2022,1112
133,32:31.49,,Glenrose XABA,31 DEC 1994,RSA,1,,"Green Point Stadium, Cape Town (RSA)",23 APR 2022,1111
134,32:31.89,,Leslie SEXTON,17 MAY 1987,CAN,1,,"Swangard Stadium, Burnaby (CAN)",14 MAY 2022,1111
135,32:32.14,,Francine NIYOMUKUNZI,01 AUG 1999,BDI,22,,"FBK Stadium, Hengelo (NED)",06 JUN 2022,1111
136,32:32.44,,Sakiho TSUTSUI,19 JAN 1996,JPN,10,,"National Stadium, Tokyo (JPN)",07 MAY 2022,1111
137,32:33.37,,Lucy MAWIA,1998,KEN,1,,"Campo Scuola Moreno Martini, Lucca (ITA)",24 APR 2022,1110
138,32:33.99,,Daiana OCAMPO,16 FEB 1991,ARG,1,,"CeNARD, Buenos Aires (ARG)",14 MAY 2022,1109
139,32:34.01,,Giovanna EPIS,11 OCT 1988,ITA,12f1,,"Stade Complexe Sportif Jean-Paul Chasseboeuf, Pacé (FRA)",28 MAY 2022,1109
140,32:34.21,,Lauren GREGORY,25 JUL 1999,USA,1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",01 APR 2022,1109
141,32:34.67,,Haley HERBERG,17 JAN 2000,USA,4,,"Hayward Field, Eugene, OR (USA)",13 MAY 2022,1109
142,32:35.16,,Sarah CHELANGAT,05 JUN 2001,UGA,5,,"Cote d'Or National Sports Complex, St Pierre (MRI)",11 JUN 2022,1108
