Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
165,46.96,,Jonah VIGIL,,USA,1f2,,"Robert W. Plaster Center, Pittsburg, KS (USA) (i)",09 MAR 2024,1110
169,46.97,,Alexander RHODES,,USA,2f2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",09 MAR 2024,1109
170,46.98,,Manuel GUIJARRO,07 JUL 1998,ESP,2f1,,"Pista Cubierta Carlos Gil Perez, Salamanca (ESP) (i)",03 FEB 2024,1108
170,46.98,,Connor BELKEN,,USA,2f11,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",09 FEB 2024,1108
172,46.99,,Boško KIJANOVIĆ,21 JUN 2000,SRB,1f2,,"Helmut-Körnig-Halle, Dortmund (GER) (i)",20 JAN 2024,1108
172,46.99,,Payton MAULDIN,,USA,1f8,,"Bob Devaney Sports Center, Lincoln, NE (USA) (i)",02 FEB 2024,1108
172,46.99,,Ricardo DOS SANTOS,18 DEC 1994,POR,3f2,,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",03 FEB 2024,1108
172,46.99,,Nout WARDENBURG,18 FEB 1997,NED,1h2,,"Omnisport, Apeldoorn (NED) (i)",17 FEB 2024,1108
172,46.99,,Omar ELKHATIB,19 OCT 2001,POR,3h3,,"Glasgow Arena, Glasgow (GBR) (i)",01 MAR 2024,1108
177,47.01,,Šimon BUJNA,27 DEC 1995,SVK,f2,,"Atletická hala Otakara Jandery, Praha (CZE) (i)",03 FEB 2024,1106
177,47.01,,Jett GRUNDY,26 FEB 2005,AUS,1f1,,"The Podium, Spokane, WA (USA) (i)",03 FEB 2024,1106
177,47.01,,Jacobo SOLER,19 MAR 2000,ESP,1h1,,"Pistas Expourense, Ourense (ESP) (i)",17 FEB 2024,1106
177,47.01,,Kouto ANYIKA,,USA,1h1,,"Robert W. Plaster Center, Pittsburg, KS (USA) (i)",08 MAR 2024,1106
181,47.02,,Shakeem MC KAY,26 MAR 2003,TTO,3h2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1106
182,47.04,,Demarco ESCOBAR,2003,USA,3h10,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1104
182,47.04,,Devontie ARCHER,26 MAY 2002,JAM,2f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",24 FEB 2024,1104
184,47.05,,Josh JEFFES,,USA,1f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1104
184,47.05,,Kasper KADESTÅL,17 JAN 1999,SWE,2,,"Eva Lisa Holtz Arena, Karlstad (SWE) (i)",17 FEB 2024,1104
