Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
106,7:52.10,,Garrett CORCORAN,08 MAR 1996,USA,2f2,,"Seattle, WA (USA) (i)",25 FEB 2017,0
107,7:52.19,,Aron KIFLE,20 FEB 1998,ERI,,,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1102
108,7:52.24,,Hicham SIGUENI,30 JAN 1993,MAR,2,,Istanbul (TUR) (i),17 FEB 2017,1125
109,7:52.27,,Daniel WINN,30 JUL 1991,USA,4,,"New York, NY (USA) (i)",04 FEB 2017,1125
110,7:52.33,,Leonard BARSOTON,21 OCT 1994,KEN,,,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1101
111,7:52.51,,Matthew MATON,28 MAR 1996,USA,3f2,,"Seattle, WA (USA) (i)",25 FEB 2017,0
112,7:52.54,,Getaneh MOLLA,10 JAN 1994,ETH,,,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1100
113,7:52.55,,Sondre Nordstad MOEN,12 JAN 1991,NOR,2,,Nembro (ITA),07 JUL 2017,1100
114,7:52.64,,Ramazan ÖZDEMIR,06 JUL 1991,TUR,3,,Istanbul (TUR) (i),17 FEB 2017,1123
115,7:52.67,,Paul Kipngetich TANUI,22 DEC 1990,KEN,1,,"Todoroki Stadium, Kawasaki (JPN)",21 MAY 2017,1099
116,7:52.68,,Evans Keitany KIPTUM,27 NOV 1999,KEN,2,,"Todoroki Stadium, Kawasaki (JPN)",21 MAY 2017,1099
117,7:52.70,,Jack RAYNER,19 DEC 1995,AUS,1,,"National Stadium, Kingston (JAM)",20 MAY 2017,1099
117,7:52.70,,Tetsuya YOROIZAKA,20 MAR 1990,JPN,1,,Kitami (JPN),09 JUL 2017,1099
119,7:52.82,,Jordan GUSMAN,30 JAN 1994,AUS,1f1,,Sydney (AUS),11 NOV 2017,1098
120,7:52.86,,Nicholas Mboroto KOSIMBEI,01 OCT 1996,KEN,,,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1098
121,7:52.98,,Birhanu BALEW,27 FEB 1996,BRN,14,,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2017,1097
121,7:52.98,,Trevor DUNBAR,29 APR 1991,USA,3,,"National Stadium, Kingston (JAM)",20 MAY 2017,1097
123,7:53.20,,Chala REGASA,30 APR 1997,ETH,1,,"x-bionic sphere, Šamorín (SVK)",17 JUN 2017,1096
124,7:53.23,,Thomas RATCLIFFE,03 SEP 1997,USA,5f4,,"Seattle, WA (USA) (i)",28 JAN 2017,0
125,7:53.60,,Brian BARRAZA,16 MAY 1995,USA,2f6,,"Seattle, WA (USA) (i)",11 FEB 2017,0
126,7:53.74,,Ben SAAREL,08 MAR 1995,USA,3f6,,"Seattle, WA (USA) (i)",11 FEB 2017,0
127,7:53.81,,Tesfaye GIRMA,24 JAN 1997,ETH,2,,"x-bionic sphere, Šamorín (SVK)",17 JUN 2017,1092
128,7:53.83,,Jonas LEANDERSON,26 JAN 1991,SWE,1f1,,Gent (BEL) (i),11 FEB 2017,1115
129,7:54.01,,Ben CONNOR,17 OCT 1992,GBR,5f1,,Cork (IRL),18 JUL 2017,1091
130,7:54.05,,Brian SHRADER,22 JUL 1991,USA,9,,"Reggie Lewis Center, Boston, MA (USA) (i)",28 JAN 2017,1114
130,7:54.05,,Joe STILIN,05 DEC 1989,USA,8,,"Concord, MA (USA)",01 JUN 2017,1091
132,7:54.11,,Takashi ICHIDA,16 JUN 1992,JPN,2,,Kitami (JPN),09 JUL 2017,1091
133,7:54.21,,Stanley Kipkoech KEBENEI,06 NOV 1989,USA,6,,"National Stadium, Kingston (JAM)",20 MAY 2017,1090
