Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
143,10:19.03,,'A Havahla HAYNES,01 MAR 1984,USA,17h2,,"Sacramento, CA (USA)",08 JUN 2005,1050
144,10:19.21,,Jessa CHANCE,26 AUG 1982,USA,1,,"Palo Alto, CA (USA)",26 MAR 2005,1049
145,10:19.72,,Gwendoline DESPRES,27 NOV 1983,FRA,5h2,,"Steigerwaldstadion, Erfurt (GER)",14 JUL 2005,1048
146,10:19.73,,Sarah BECKER,23 JAN 1984,USA,18h2,,"Sacramento, CA (USA)",08 JUN 2005,1048
147,10:19.87,,Anna KADZIELA,21 FEB 1980,POL,2,,Biala Podlaska (POL),26 JUN 2005,1048
148,10:19.95,,Malika ASAHSSAH,24 SEP 1982,MAR,1,,Leuven (BEL),04 JUN 2005,1048
149,10:20.01,,Yekaterina BESPALOVA,26 OCT 1984,RUS,4,,Sochi (RUS),26 MAY 2005,1047
150,10:20.02,,Michelle PROWSE,24 APR 1982,NZL,2,,"Palo Alto, CA (USA)",26 MAR 2005,1047
151,10:20.07,,Maike ROSENAUER,22 JUL 1981,GER,2,,"Wattenscheid, Bochum (GER)",03 JUL 2005,1047
152,10:20.44,,Natalya GRIGORYEVA,20 JAN 1984,BLR,1,,Brest (BLR),01 JUN 2005,1046
153,10:20.56,,Danuta WOSZCZEK,20 FEB 1978,POL,1,,Czestochowa (POL),27 AUG 2005,1046
154,10:20.72,,Nolene CONRAD,26 JUL 1985,RSA,2,,Durban (RSA),16 APR 2005,1046
155,10:20.82,,Barbara PARKER,08 NOV 1982,GBR,6,,"New York, NY (USA)",28 MAY 2005,1046
156,10:20.91,,Lindsey OLSON-ANDERSON,23 MAY 1985,USA,19h2,,"Sacramento, CA (USA)",08 JUN 2005,1045
157,10:21.00,,Linda BYRNE,13 MAY 1986,IRL,4,,"S. Darius & S. Girėnas Stadium, Kaunas (LTU)",24 JUL 2005,1045
158,10:21.18,,Tsehaye DAGNACHEW,25 JUN 1985,USA,1,,"Houston, TX (USA)",14 MAY 2005,1045
159,10:21.20,,Tiffany STRICKLAND,30 NOV 1983,USA,3,,"Eugene, OR (USA)",28 MAY 2005,1045
160,10:21.30,,Molly LANDRETH,27 NOV 1982,USA,2,,"Columbus, OH (USA)",14 MAY 2005,1044
161,10:21.73,,Ebba STENBÄCK,29 AUG 1981,SWE,2,,Göteborg (SWE),28 AUG 2005,1043
162,10:21.87,,Emily BROWN,06 JUL 1984,USA,20h1,,"Sacramento, CA (USA)",08 JUN 2005,1043
162,10:21.87,,Marcela LUSTIGOVÁ,11 NOV 1982,CZE,2,,Kladno (CZE),03 JUL 2005,1043
164,10:22.4h,,Hatti DEAN,02 FEB 1982,GBR,2,,Manchester (GBR),21 MAY 2005,1042
165,10:22.7h,,Genoveva Jelagat KIGEN,09 AUG 1980,KEN,6,,Nairobi (KEN),25 JUN 2005,1041
166,10:22.8h,,Amanda KUCA-LORENZEN,04 APR 1984,USA,1,,"Madison, WI (USA)",07 MAY 2005,1041
167,10:22.82,,Oxana JURAVEL,23 FEB 1986,MDA,1,,Bucureşti (ROU),07 AUG 2005,1041
168,10:23.27,,Anna MASINELLI,13 DEC 1983,USA,1,,"Westwood, CA (USA)",14 MAY 2005,1040
169,10:23.37,,Monique ZIMMER,01 DEC 1975,SUI,2,,Zeulenroda (GER),29 MAY 2005,1040
170,10:23.82,,Julia HILLER,24 JUL 1987,GER,5,,Ulm (GER),12 JUN 2005,1038
171,10:23.88,,Rosa GODOY,19 MAR 1982,ARG,1,,Rosario (ARG),19 NOV 2005,1038
172,10:24.11,,Olena SHURHNO,08 JAN 1978,UKR,4,,Kyiv (UKR),02 JUL 2005,1038
173,10:24.35,,Natalia JARAWKA,13 JUL 1986,POL,6,,"S. Darius & S. Girėnas Stadium, Kaunas (LTU)",24 JUL 2005,1037
174,10:24.39,,Durka Mana KALAMENA,19 JUN 1988,SUD,3,,Tunis (TUN),04 SEP 2005,1037
175,10:24.52,,Patrycja WŁODARCZYK,09 JUN 1980,POL,3,,Czestochowa (POL),27 AUG 2005,1037
176,10:25.38,,Agata DRÓZDZ,15 MAY 1984,POL,3,,Biala Podlaska (POL),26 JUN 2005,1035
177,10:25.44,,Mica LAND,25 OCT 1985,USA,23h1,,"Sacramento, CA (USA)",08 JUN 2005,1035
178,10:25.52,,Stefanie CALHOUN,31 MAY 1983,USA,2,,"Des Moines, IA (USA)",29 APR 2005,1034
178,10:25.52,,Pamela KIPCHOGE,22 AUG 1983,KEN,3,,Bilbao (ESP),18 JUN 2005,1034
180,10:25.80,,Mariola KONOWALSKA,30 MAY 1982,POL,4,,Czestochowa (POL),27 AUG 2005,1034
181,10:26.13,,Eva TOMÁNKOVÁ,11 SEP 1984,CZE,4,,Manchester (GBR),06 AUG 2005,1033
182,10:26.15,,Lisa Christina NEMEC,18 MAY 1984,CRO,2,,"Princeton, NJ (USA)",09 APR 2005,1033
183,10:26.28,,Trina COX,15 JUL 1980,USA,5,,"Palo Alto, CA (USA)",26 MAR 2005,1033
184,10:26.43,,Amber FERNER,18 JAN 1983,USA,3,,"Columbus, OH (USA)",14 MAY 2005,1032
185,10:26.71,,Lindsay ALLEN,30 JUN 1986,USA,6,,"Palo Alto, CA (USA)",26 MAR 2005,1032
186,10:26.79,,Yekaterina CHEBOTARYOVA,06 NOV 1982,RUS,8,,Tula (RUS),11 JUL 2005,1032
187,10:27.06,,Jinny HANIFAN,06 MAY 1982,USA,7,,"Palo Alto, CA (USA)",01 MAY 2005,1031
188,10:27.16,,Nancy FROUIN,22 DEC 1984,FRA,8h1,,"Steigerwaldstadion, Erfurt (GER)",14 JUL 2005,1031
189,10:27.20,,Fatima MAAMA-YVELAIN,31 DEC 1969,FRA,4,,Bordeaux (FRA),08 JUN 2005,1031
190,10:27.23,,Kristy MCCARTHY-VILLIS,07 NOV 1976,AUS,1,,Sydney (AUS),06 MAR 2005,1030
191,10:27.41,,Giorgia ROBAUDO,24 SEP 1984,ITA,2,,Bressanone (ITA),26 JUN 2005,1030
192,10:27.44,,Mel LAWRENCE,29 AUG 1989,USA,2,,Windsor (CAN),30 JUL 2005,1030
193,10:27.66,,Kate SEIBOLD,03 APR 1975,AUS,2,,Melbourne (AUS),01 DEC 2005,1029
194,10:27.72,,Sara MOREIRA,17 OCT 1985,POR,4,,Lisboa (POR),23 JUL 2005,1029
195,10:27.96,,Azucena DÍAZ,19 DEC 1982,ESP,4,,Mataró (ESP),14 JUL 2005,1029
196,10:28.24,,Brianna CARSTENSEN,31 MAY 1983,USA,1,,"Claremont, CA (USA)",15 APR 2005,1028
197,10:28.45,,Jennifer DAVIS,16 APR 1983,USA,3,,"Piscataway, NJ (USA)",08 MAY 2005,1028
198,10:28.6h,,Simona SANTINI,08 JAN 1980,ITA,1,,Bologna (ITA),21 JUL 2005,1027
199,10:28.63,,Stacie LIFFERTH,17 JUN 1986,USA,7,,"Eugene, OR (USA)",28 MAY 2005,1027
200,10:28.64,,Lilian Priscila LEONEL,19 NOV 1986,BRA,4,,Windsor (CAN),30 JUL 2005,1027
201,10:28.77,,Laura MEYERS,25 JAN 1985,USA,9,,"New York, NY (USA)",28 MAY 2005,1027
202,10:28.80,,Konstantina KEFALA,09 AUG 1977,GRE,3,,Athina (GRE),10 JUN 2005,1027
203,10:29.33,,Claire DUNCAN,16 AUG 1983,USA,10,,"New York, NY (USA)",28 MAY 2005,1026
204,10:29.39,,Monique ORTEGA,09 OCT 1984,USA,3,,"Manhattan, KS (USA)",15 MAY 2005,1025
205,10:29.54,,Svetlana PAVLYUCHENKO,1988,BLR,2,,Minsk (BLR),24 JUN 2005,1025
206,10:29.58,,Ulrika FLODIN,09 FEB 1975,SWE,3,,Göteborg (SWE),28 AUG 2005,1025
