Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
118,8:37.38,,Mircea BOGDAN,06 MAY 1982,ROU,1,,Bucureşti (ROU),01 AUG 2009,1090
119,8:37.47,,Jordan FIFE,18 AUG 1983,USA,7f1,,"Palo Alto, CA (USA)",02 MAY 2009,1089
120,8:37.48,,Takeshi TAKEDA,22 JAN 1987,JPN,3,,Hiroshima (JPN),25 JUN 2009,1089
121,8:37.52,,Yuki MUNAKATA,20 DEC 1989,JPN,3,,Niigata (JPN),05 OCT 2009,1089
122,8:37.6h,,Wilson MARABA,1986,KEN,6h2,,Nairobi (KEN),27 JUN 2009,1089
123,8:37.67,,Peter NOWILL,15 JUN 1979,AUS,1f1,,Regensburg (GER),07 JUN 2009,1089
124,8:37.80,,Timothée BOMMIER,11 OCT 1986,FRA,11,,Metz (FRA),03 JUL 2009,1088
125,8:37.97,,Jacques SALLBERG,24 SEP 1974,USA,9f1,,"Palo Alto, CA (USA)",02 MAY 2009,1087
126,8:38.22,,Said TBIBI,17 JAN 1985,MAR,2,,Montreuil-sous-Bois (FRA),17 MAY 2009,1086
127,8:38.31,,Masatoshi KIKUCHI,12 FEB 1986,JPN,4,,Sapporo (JPN),06 JUN 2009,1086
128,8:38.56,,Workneh FIKIRE,30 NOV 1987,ETH,5,,Palafrugell (ESP),30 MAY 2009,1085
129,8:38.62,,Irba LAKHAL,12 DEC 1975,FRA,3,,Montreuil-sous-Bois (FRA),17 MAY 2009,1084
130,8:38.77,,Petr MIKULENKA,08 NOV 1982,CZE,3,,Dessau (GER),02 JUN 2009,1084
131,8:38.87,,Scott MACPHERSON,27 FEB 1987,USA,5,,"Fayetteville, AR (USA)",12 JUN 2009,1083
132,8:38.89,,Tao YANG,23 MAR 1987,CHN,3,,Jinan (CHN),21 OCT 2009,1083
133,8:38.90,,Ben SIWA,27 MAY 1989,UGA,6,,Palafrugell (ESP),30 MAY 2009,1083
134,8:39.05,,Amine BENSALEM,1984,ALG,1,,Algiers (ALG),11 JUN 2009,1083
135,8:39.15,,Pierrot PANTEL,15 JAN 1986,FRA,2,,Ales (FRA),13 MAY 2009,1082
135,8:39.15,,Ismaïli JILALI,08 JUL 1979,MAR,13,,Rabat (MAR),23 MAY 2009,1082
137,8:39.16,,Antonio David JIMÉNEZ,18 FEB 1977,ESP,15,,Heusden-Zolder (BEL),18 JUL 2009,1082
138,8:39.71,,Willy Rutto KOMEN,22 DEC 1987,KEN,2,,Baie Mahault (FRA),01 MAY 2009,1080
139,8:39.74,,Aaron MELHORN,03 MAY 1988,USA,1f1,,"Columbus, OH (USA)",01 MAY 2009,1080
140,8:39.8h,,Bisluke Kipkorir KIPLAGAT,08 AUG 1988,KEN,2h1,,Nairobi (KEN),27 JUN 2009,1079
141,8:39.92,,Boris ZAKHAROV,31 MAR 1984,RUS,1,,Sochi (RUS),30 MAY 2009,1079
142,8:40.05,,Kyle HEATH,24 AUG 1986,USA,3h1,,"Fayetteville, AR (USA)",10 JUN 2009,1078
143,8:40.15,,Illia SLAVINSKI,02 AUG 1984,BLR,3,,Yalta (UKR),22 JUL 2009,1078
144,8:40.16,,Nikolay SPIRKIN,08 JAN 1986,RUS,5f2,,Cheboksary (RUS),23 JUL 2009,1078
145,8:40.19,,Sammy Kiprono KIRUI,20 DEC 1987,KEN,3,,Karlstad (SWE),23 JUL 2009,1078
146,8:40.2h,,James TAIGET,,KEN,7h2,,Nairobi (KEN),26 JUN 2009,1078
147,8:40.40,,Aaron AGUAYO,27 JUL 1984,USA,1,,"San Diego, CA (USA)",14 JUN 2009,1077
