Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
128,8:36.74,,Merzak OULD BOUCHIBA,27 APR 1975,ALG,2,,Algiers (ALG),18 JUL 2006,1093
129,8:36.97,,Fernando Alex FERNANDES,12 MAR 1983,BRA,2,,Ponce (PUR),26 MAY 2006,1092
130,8:36.98,,James MANYUR,25 FEB 1980,KEN,2,,Bilbao (ESP),01 JUL 2006,1092
131,8:37.02,,Øystein SYLTA,03 MAR 1978,NOR,6,,Neerpelt (BEL),05 JUN 2006,1091
132,8:37.05,,Joseph LOMALA,1982,KEN,4,,Busto Arsizio (ITA),23 SEP 2006,1091
133,8:37.06,,Emmanuel MKHABELA,19 JUL 1979,RSA,2,,Port Elizabeth (RSA),11 FEB 2006,1091
134,8:37.10,,Irba LAKHAL,12 DEC 1975,FRA,2,,Arras (FRA),25 JUN 2006,1091
135,8:37.19,,Rédouane HIBA,02 AUG 1980,MAR,5,,Casablanca (MAR),02 JUL 2006,1091
136,8:37.23,,Max KING,24 FEB 1980,USA,3,,"Nashville, TN (USA)",03 JUN 2006,1090
137,8:37.25,,Satoshi KATO,24 JUN 1980,JPN,2,,Maebashi (JPN),17 SEP 2006,1090
138,8:37.3h,,Benson SEUREI,27 MAR 1984,KEN,7,,Nairobi (KEN),01 JUL 2006,1090
139,8:37.4h,,Tarik Langat AKDAG,16 JUN 1988,KEN,3,,Nairobi (KEN),22 JUL 2006,1090
140,8:37.52,,Andrey OLSHANSKIY,24 JAN 1978,RUS,4,,Tula (RUS),12 JUN 2006,1089
141,8:37.55,,Rabie MAKHLOUFI,11 NOV 1986,ALG,3,,Algiers (ALG),18 JUL 2006,1089
142,8:37.65,,Steffen ULICZKA,17 JUL 1984,GER,7,,Paris (FRA),26 AUG 2006,1089
143,8:38.15,,Mikael TALASJOKI,27 MAR 1979,FIN,4,,Lapinlahti (FIN),16 JUL 2006,1086
144,8:38.6h,,James Kosgei CHEPTUIYON,1984,KEN,4,,Nairobi (KEN),07 JAN 2006,1085
145,8:38.80,,Per JACOBSEN,30 DEC 1977,SWE,10,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",01 JUN 2006,1084
145,8:38.80,,David Kipkering CHEROMEI,10 SEP 1979,KEN,5,,"Nashville, TN (USA)",03 JUN 2006,1084
147,8:38.97,,Matthew KERR,03 MAY 1976,CAN,8,,Melbourne (AUS),24 MAR 2006,1083
148,8:38.98,,Valērijs ŽOLNEROVIČS,19 APR 1985,LAT,4,,Kaunas (LTU),01 JUL 2006,1083
149,8:39.01,,Ryan WARRENBURG,27 MAR 1984,USA,2,,"Eugene, OR (USA)",13 MAY 2006,1083
150,8:39.26,,Pablo VEGA,14 JAN 1977,ESP,4,,Barakaldo (ESP),24 JUN 2006,1082
151,8:39.36,,Roman USOV,04 JUN 1978,RUS,6,,Valencia (ESP),28 MAY 2006,1081
152,8:39.43,,Koen WILLSSENS,15 MAR 1981,BEL,7,,Neerpelt (BEL),05 JUN 2006,1081
153,8:39.54,,Grant SCHMIDLECHNER,21 SEP 1978,AUS,4,,Sydney (AUS),04 FEB 2006,1080
154,8:39.60,,Henrik AHNSTRÖM,01 JUL 1981,SWE,6,,Norrtälje (SWE),03 JUL 2006,1080
155,8:39.68,,José María GONZÁLEZ,31 MAY 1973,ESP,5,,Barakaldo (ESP),24 JUN 2006,1080
156,8:40.16,,Hidenobu KOSHIKAWA,16 DEC 1982,JPN,1,,Oita (JPN),30 SEP 2006,1078
157,8:40.27,,Joël BOURGEOIS,25 APR 1971,CAN,9,,Villeneuve d'Ascq (FRA),09 JUN 2006,1077
158,8:40.28,,Mohamed ABDELLAOUI,22 APR 1979,FRA,4,,Longeville (FRA),02 JUL 2006,1077
159,8:40.36,,Boštjan BUČ,13 APR 1980,SLO,2,,Thessaloniki (GRE),18 JUN 2006,1077
160,8:40.72,,Jonathan PIERCE,03 SEP 1983,USA,6h1,,"Sacramento, CA (USA)",07 JUN 2006,1075
161,8:40.74,,Jan ZAKRZEWSKI,22 DEC 1970,POL,3,,Bydgoszcz (POL),21 JUL 2006,1075
162,8:40.88,,Luke LLAMAS,02 APR 1983,USA,3h2,,"Sacramento, CA (USA)",07 JUN 2006,1075
163,8:40.93,,László TÓTH,15 SEP 1987,HUN,7,,"Chaoyang Sport Center, Beijing (CHN)",19 AUG 2006,1074
164,8:40.94,,Kim HOGARTH,18 DEC 1975,NZL,7,,"Palo Alto, CA (USA)",30 APR 2006,1074
165,8:41.01,,Augustus MAIYO,10 MAY 1983,KEN,1,,"Fayetteville, AR (USA)",14 MAY 2006,1074
166,8:41.06,,Celso FICAGNA,05 AUG 1975,BRA,2,,Belém (BRA),23 JUN 2006,1074
167,8:41.09,,Corey NOWITZKE,26 APR 1984,USA,4h2,,"Sacramento, CA (USA)",07 JUN 2006,1074
168,8:41.11,,Hubert POKROP,02 NOV 1985,POL,4,,Bydgoszcz (POL),21 JUL 2006,1074
169,8:41.17,,Karim ALAOUI,05 APR 1980,MAR,5,,Nancy (FRA),22 JUL 2006,1073
170,8:41.21,,José Alberto CAIRO SÁNCHEZ,02 SEP 1986,CUB,1,,La Habana (CUB),24 MAR 2006,1073
171,8:41.61,,Mariusz GIŻYŃSKI,26 JUN 1981,POL,1,,Kozienice (POL),10 JUN 2006,1072
172,8:41.63,,Vitalij GORLUKOVIC,17 OCT 1983,LTU,11,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",01 JUN 2006,1071
173,8:41.82,,Jake MORSE,17 APR 1985,USA,6h2,,"Sacramento, CA (USA)",07 JUN 2006,1071
174,8:42.4h,,Daniel LANGAT,1984,KEN,3,,Nairobi (KEN),08 JUN 2006,1068
175,8:42.45,,José Eraldo DE LIMA,30 AUG 1981,BRA,3,,Rio de Janeiro (BRA),14 JUL 2006,1068
176,8:42.57,,Masatoshi KIKUCHI,12 FEB 1986,JPN,1,,Ageo (JPN),14 MAY 2006,1067
177,8:42.68,,Dieudonné GAHUNGU,16 APR 1986,BDI,19,,Heusden-Zolder (BEL),22 JUL 2006,1067
177,8:42.68,,Tatsunori SHINOURA,02 SEP 1982,JPN,3,,Oita (JPN),30 SEP 2006,1067
179,8:42.8h,,Ezkyas SISAY,05 DEC 1988,ETH,1,,Addis Abeba (ETH),16 APR 2006,1066
180,8:42.96,,Norbert LÖWA,02 JAN 1984,GER,1,,Berlin (GER),17 MAY 2006,1066
181,8:43.07,,Marcos PEÓN,11 JAN 1983,ESP,5,,Gavá (ESP),04 JUN 2006,1065
182,8:43.09,,Abdelhakim ZILALI,20 JUN 1983,FRA,6,,Reims (FRA),25 JUL 2006,1065
183,8:43.26,,Illya SUKHAREV,17 JUN 1986,UKR,3,,Kyiv (UKR),21 JUL 2006,1064
184,8:43.59,,Michalis GELASSAKIS,21 APR 1976,GRE,1,,Katerini (GRE),09 JUL 2006,1063
185,8:43.60,,Salem Saeed MALEK,05 AUG 1987,QAT,8,,"Chaoyang Sport Center, Beijing (CHN)",19 AUG 2006,1063
186,8:43.81,,Karol RZESZEWICZ,16 JUN 1983,POL,5,,Bydgoszcz (POL),21 JUL 2006,1062
187,8:43.82,,Yuriy HICHUN,10 FEB 1977,UKR,4,,Kyiv (UKR),21 JUL 2006,1062
188,8:43.86,,Luke GUNN,22 MAR 1985,GBR,4,,Manchester (GBR),16 JUL 2006,1062
189,8:43.89,,Jordan FIFE,18 AUG 1983,USA,8h2,,"Sacramento, CA (USA)",07 JUN 2006,1062
190,8:43.97,,Víctor GARCÍA,13 MAR 1985,ESP,6,,Gavá (ESP),04 JUN 2006,1061
191,8:44.08,,Richard JEREMIAH,03 DEC 1982,AUS,3,,Sydney (AUS),15 JAN 2006,1061
192,8:44.18,,Robbie NISSEN,04 MAR 1983,CAN,8,,"Palo Alto, CA (USA)",30 APR 2006,1061
193,8:44.59,,Gladson Alberto SILVA BARBOSA,16 AUG 1979,BRA,1,,São Paulo (BRA),23 SEP 2006,1059
194,8:44.68,,Naim AKROUT,08 OCT 1981,GRE,16,,"Olympic Stadium, Athina (GRE)",03 JUL 2006,1058
195,8:44.75,,Sergio LOBOS,01 DEC 1982,CHI,4,,Ponce (PUR),26 MAY 2006,1058
196,8:44.76,,Pete JANSON,25 JAN 1985,USA,1,,"Waco, TX (USA)",14 MAY 2006,1058
197,8:44.78,,Chris HART,23 MAY 1986,GBR,3,,Watford (GBR),10 JUN 2006,1058
198,8:44.86,,Néstor NIEVES,29 DEC 1974,VEN,2,,Cartagena de Indias (COL),28 JUL 2006,1058
199,8:44.88,,Shengqing WANG,07 NOV 1983,CHN,3,,Shijiazhuang (CHN),06 AUG 2006,1058
200,8:44.90,,José Salvador MIRANDA DÍAZ,22 AUG 1971,MEX,9,,"Palo Alto, CA (USA)",30 APR 2006,1057
201,8:44.96,,Angelo IANNELLI,27 JUL 1976,ITA,3,,Firenze (ITA),04 JUN 2006,1057
202,8:44.98,,Manuel NÚNEZ,16 JUN 1974,ESP,6,,Barakaldo (ESP),24 JUN 2006,1057
203,8:45.17,,Frédéric DENIS,03 MAR 1975,FRA,1,,Bordeaux (FRA),21 MAY 2006,1056
203,8:45.17,,Atsuo KIKUCHI,10 MAR 1988,JPN,1,,Yokohama (JPN),10 JUN 2006,1056
205,8:45.19,,Ioannis KANELLOPOULOS,13 OCT 1981,GRE,2,,Katerini (GRE),09 JUL 2006,1056
206,8:45.21,,Nickon RUGUT,1982,KEN,2,,Catania (ITA),20 MAY 2006,1056
207,8:45.56,,Tomasz OGORZAŁY,05 JAN 1986,POL,6,,Bydgoszcz (POL),21 JUL 2006,1055
208,8:45.61,,Barnabas KIRUI,12 DEC 1985,KEN,2,,"Fayetteville, AR (USA)",14 MAY 2006,1054
208,8:45.61,,Damien ROUQUET,27 FEB 1978,FRA,4,,Strasbourg (FRA),19 JUN 2006,1054
210,8:45.69,,Dave RAE,02 JUN 1983,USA,1,,"East Lansing, MI (USA)",13 MAY 2006,1054
211,8:45.78,,Frank TICKNER,12 OCT 1983,GBR,1,,Solihull (GBR),24 JUN 2006,1054
212,8:45.80,,Vincent CHAPUIS,28 MAY 1987,FRA,3h2,,"Chaoyang Sport Center, Beijing (CHN)",16 AUG 2006,1054
213,8:45.81,,Jeffrey HUNT,24 JUL 1982,AUS,5,,Sydney (AUS),04 FEB 2006,1054
