Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
130,9:55.15,,Amelie SVENSSON,28 AUG 1996,SWE,4f1,,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",20 MAY 2023,1107
131,9:55.41,,Marion KIBOR,27 SEP 1994,KEN,2,,"Ulinzi Sports Complex, Langata, Nairobi (KEN)",25 MAY 2023,1106
132,9:55.60,,Alexa LEMITRE,10 APR 1998,FRA,2,,"Stedelijke Atletiekpiste, Ninove (BEL)",22 JUL 2023,1106
133,9:56.25,,Soňa KOUŘILOVÁ,08 DEC 2001,CZE,3h1,,"Leppävaaran Stadion, Espoo (FIN)",13 JUL 2023,1104
134,9:56.56,,Kristel VAN DEN BERG,30 OCT 1998,NED,1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",12 MAY 2023,1103
135,9:56.73,,Sasha NEGLIA,,USA,4,,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",21 APR 2023,1103
136,9:56.76,,Katelyn STEWART-BARNETT,12 MAY 2003,CAN,2f1,,"Franklin Field, Philadelphia, PA (USA)",27 APR 2023,1103
137,9:56.90,,Manami NISHIYAMA,09 DEC 1999,JPN,2,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2023,1103
137,9:56.90,,Laura MAASIK,05 OCT 1993,EST,1,,"Jāņa Daliņa Stadium, Valmiera (LAT)",04 AUG 2023,1103
139,9:56.99,,Mercy Wanjiru GITAHI,28 MAR 1999,KEN,4h2,,"Nyayo National Stadium, Nairobi (KEN)",22 JUN 2023,1102
140,9:57.01,,Berhan GEBREGIWRGS,23 MAR 2004,ETH,11,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",13 MAY 2023,1102
141,9:57.11,,Sadie SARGENT,,USA,5h2,,"Hornet Stadium - Sac St., Sacramento, CA (USA)",27 MAY 2023,1102
142,9:57.13,,Thi Oanh NGUYEN,15 AUG 1995,VIE,6,,"HOC Stadium, Hangzhou (CHN)",02 OCT 2023,1102
143,9:57.20,,Xia LUO,10 MAY 2000,CHN,2,,Rizhao (CHN),27 APR 2023,1102
144,9:57.26,,Linn SÖDERHOLM,05 MAY 1996,SWE,3,,"Olympiastadion, Stockholm (SWE)",03 SEP 2023,1102
145,9:57.36,,Irene VAN DER REIJKEN,13 AUG 1993,NED,4,,"Putbosstadion, Oordegem (BEL)",27 MAY 2023,1101
146,9:57.42,,Judi JONES,28 MAR 1997,USA,4,,"Joe Compagni Track at Kessler Stadium, West Long Branch, NJ (USA)",17 JUN 2023,1101
