Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
104,9:52.71,,Anna TROPINA,03 NOV 1998,RUS,2,,"Slava Metreveli Stadium, Sochi (RUS)",22 MAY 2024,1113
105,9:52.81,,Eline DALEMANS,25 FEB 1991,BEL,8f2,,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",11 MAY 2024,1112
106,9:52.90,,Andreea STAVILA,13 DEC 2000,MDA,3,,"Atatürk Stadyumu, Izmir (TUR)",25 MAY 2024,1112
107,9:52.99,,Laura TABORDA,01 JAN 1999,POR,3,,"Percy Beard Track, Gainesville, FL (USA)",10 MAY 2024,1112
108,9:53.05,,Poppy TANK,05 DEC 1997,GBR,11f1,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1112
109,9:53.51,,Emma TAVELLA,,USA,8f1,,"Cougar Athletic Stadium, Azusa, CA (USA)",11 APR 2024,1111
110,9:54.08,,Angelina NAPOLEON,03 MAR 2005,USA,3sf1,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1109
111,9:54.44,,Elena CAREY,14 APR 2000,GBR,1,,"Griswold Stadium, Portland, OR (USA)",04 MAY 2024,1109
112,9:54.66,,Ava O'CONNOR,19 SEP 2003,IRL,2,,"Griswold Stadium, Portland, OR (USA)",04 MAY 2024,1108
113,9:54.82,,Wosane Asefa MANGISTU,03 JAN 2007,ETH,6,,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1108
114,9:56.23,,Kayla SCHIERA,24 MAR 2000,USA,2sf3,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1104
115,9:56.49,,Xia LUO,10 MAY 2000,CHN,1f2,,"HOC Stadium, Hangzhou (CHN)",14 APR 2024,1104
116,9:56.63,,Madison NEUNER,,USA,2,,"Geroge C. Griffin Track, Atlanta, GA (USA)",10 MAY 2024,1103
117,9:56.74,,Silvia OGGIONI,18 AUG 1995,ITA,15f1,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1103
118,9:56.84,,Bizunesh GETAHUN,,ETH,7,,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1103
119,9:57.05,,Emily PAUPORE,,USA,4,,"Dean A. Hayes Track and Soccer Stadium, Murfreesboro, TN (USA)",31 MAY 2024,1102
120,9:57.29,,Shirley LANG,29 JUN 2002,SUI,1,,"Stadion Buchholz, Uster (SUI)",24 MAY 2024,1102
121,9:57.44,,Zoie DUNDON,,USA,1f3,,"Cougar Athletic Stadium, Azusa, CA (USA)",11 APR 2024,1101
122,9:57.94,,Olivia MORGANTI,25 MAR 2002,USA,1f1,,"Franklin Field, Philadelphia, PA (USA)",25 APR 2024,1100
123,9:58.40,,Agnes Thurid GERS,04 AUG 1997,GER,6,,"Paul-Greifzu-Stadion, Dessau (GER)",24 MAY 2024,1099
124,9:58.41,,Pelinsu ŞAHIN,24 MAR 2003,TUR,1,,"Suez Canal Authority Stadium, Ismailia (EGY)",18 MAY 2024,1099
125,9:58.52,,Lona LATEMA,,KEN,10f1,,"Cougar Athletic Stadium, Azusa, CA (USA)",11 APR 2024,1099
126,9:58.67,,Lydia OLIVERE,08 MAR 2000,USA,2,,"Joe Compagni Track at Kessler Stadium, West Long Branch, NJ (USA)",02 JUN 2024,1098
127,9:58.75,,Yasmin AUSTRIDGE,11 AUG 2000,GBR,1,,"Veterans Memorial Stadium, Clovis, CA (USA)",10 MAY 2024,1098
128,9:58.78,,Emma GEE,17 AUG 1997,USA,12,,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1098
129,9:59.06,,Katie CLUTE,,USA,4f2,,"Cougar Athletic Stadium, Azusa, CA (USA)",11 APR 2024,1097
130,9:59.14,,Reimi YOSHIMURA,22 APR 2000,JPN,3,,"Universiade Commemorative Stadium, Kobe (JPN)",21 APR 2024,1097
131,9:59.17,,Alycia BUTTERWORTH,01 OCT 1992,CAN,16,,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1097
132,9:59.43,,Anastasiya KRASILNIKOVA,10 DEC 2003,RUS,3,,"Slava Metreveli Stadium, Sochi (RUS)",22 MAY 2024,1096
132,9:59.43,,Karolína JAROŠOVÁ,20 MAR 2006,CZE,7,,"Paul-Greifzu-Stadion, Dessau (GER)",24 MAY 2024,1096
134,9:59.55,,Claudia CORRAL,08 AUG 2002,ESP,1,,"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)",25 MAY 2024,1096
135,9:59.61,,Teresah CHEROTICH,01 AUG 2004,KEN,4sf1,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1096
136,9:59.86,,Agnieszka CHORZĘPA,14 JAN 2001,POL,8,,"Paul-Greifzu-Stadion, Dessau (GER)",24 MAY 2024,1095
137,10:00.32,,Julia KORALEWSKA,17 FEB 2002,POL,12,,"Estadio Iberoamericano, Huelva (ESP)",30 APR 2024,1094
138,10:00.43,,Fancy CHERONO,02 AUG 2001,KEN,3,,"Nyayo National Stadium, Nairobi (KEN)",06 MAR 2024,1094
139,10:00.55,,Judith CHEPKEOCH,01 AUG 2006,KEN,8,,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1094
140,10:00.67,,Şevval ÖZDOĞAN,03 NOV 2002,TUR,16f1,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1093
141,10:00.70,,Rachel ANDERSON,,USA,2f3,,"Cougar Athletic Stadium, Azusa, CA (USA)",11 APR 2024,1093
142,10:00.72,,Karrie BALOGA,05 OCT 2005,USA,2h3,,"John McDonnell Field, Fayetteville, AR (USA)",25 MAY 2024,1093
143,10:00.79,,Jenna MELANSON,,CAN,11f1,,"Cougar Athletic Stadium, Azusa, CA (USA)",11 APR 2024,1093
144,10:00.84,,Mikenna VANDERHEYDEN,2000,CAN,2sf2,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1093
145,10:01.19,,Alondra NEGRON,31 MAY 1998,PUR,3,,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",10 MAY 2024,1092
146,10:01.21,,Patrycja KAPAŁA,26 MAR 1997,POL,10,,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1092
147,10:01.23,,Maria Mihaela BLAGA,04 MAR 2004,ROU,4,,"Atatürk Stadyumu, Izmir (TUR)",25 MAY 2024,1092
148,10:01.29,,Makenna KREBS,07 JUL 2001,USA,2f1,,"Franklin Field, Philadelphia, PA (USA)",25 APR 2024,1092
149,10:01.53,,Ayaka KOIKE,09 APR 1993,JPN,5,,"Yanmar Stadium Nagai, Osaka (JPN)",12 MAY 2024,1091
