Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
70,13:19.12,,Abbabiya SIMBASSA,30 JUN 1993,USA,6,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2021,1141
71,13:19.47,,Muthoni MUIRU,27 MAR 1998,KEN,3f13,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",06 JUN 2021,1139
72,13:19.52,,Matthew RAMSDEN,23 JUL 1997,AUS,2f1,,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",02 MAR 2021,1139
73,13:19.85,,Patrick DEVER,05 SEP 1996,GBR,6,,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1138
74,13:19.92,,James KIMEU,14 DEC 2000,KEN,1f1,,"Aoba Park Athletic Field, Chitose (JPN)",17 JUL 2021,1138
75,13:19.96,,Takuma SUNAOKA,23 MAR 2000,JPN,4,,"Takebishi Stadium, Kyoto (JPN)",10 DEC 2021,1138
76,13:20.02,,Jackson Kavesa MUEMA,03 SEP 2001,KEN,,,"Yanmar Stadium Nagai, Osaka (JPN)",24 JUN 2021,1137
77,13:20.18,,Eric JENKINS,24 NOV 1991,USA,1f1,,"Griswold Stadium, Portland, OR (USA)",03 JUN 2021,1137
78,13:20.23,,Abdessamad OUKHELFEN,18 DEC 1998,ESP,4f1,,"Stade L. Lagrange, Toulon (FRA)",26 FEB 2021,1137
79,13:20.24,,Dawit FIKADU,29 DEC 1995,BRN,15,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1137
80,13:20.28,,Ali ABDILMANA,17 FEB 2002,ETH,9,,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1136
81,13:20.37,,Benson KIPLANGAT,17 JUN 2003,KEN,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",19 AUG 2021,1136
82,13:20.46,,Patrick TIERNAN,11 SEP 1994,AUS,2f1,,"Griswold Stadium, Portland, OR (USA)",03 JUN 2021,1136
83,13:20.48,,Edwin KURGAT,19 MAY 1996,KEN,3,,"Hayward Field, Eugene, OR (USA)",23 APR 2021,1136
84,13:20.52,,Michael KIBET,03 SEP 1999,KEN,3,,"International Stadium, Gateshead (GBR)",23 MAY 2021,1136
85,13:20.62,,Hillary KIPKOECH,20 DEC 1998,KEN,3f1,,"Slottsskogsvallen, Göteborg (SWE)",02 JUN 2021,1135
86,13:20.65,,Tadese WORKU,20 JAN 2002,ETH,2,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",19 AUG 2021,1135
87,13:20.67,,Benjamin FLANAGAN,11 JAN 1995,CAN,1,,"Bishop Feehan HS, Boston, MA (USA)",29 MAY 2021,1135
88,13:20.88,,Thomas RATCLIFFE,03 SEP 1997,USA,7,,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1134
89,13:21.11,,Mohamed FARES,06 FEB 1991,MAR,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",27 JUN 2021,1133
90,13:21.2h,,Gideon Kipkertich RONO,22 FEB 2003,KEN,1f2,,"Nyayo National Stadium, Nairobi (KEN)",27 FEB 2021,1133
91,13:21.34,,Isaac KIMELI,09 MAR 1994,BEL,1f1,,"VITA Atletiek, Ninove (BEL)",17 JUL 2021,1133
92,13:21.40,,Morgan BEADLESCOMB,01 JUN 1998,USA,8,,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1132
93,13:21.56,,Jonathan DAVIES,28 OCT 1994,GBR,6,,"Parc des Sports C. Ehrmann, Nice (FRA)",12 JUN 2021,1132
94,13:21.68,,Awet HABTE,29 SEP 1997,ERI,3,,"Estadio Iberoamericano, Huelva (ESP)",03 JUN 2021,1131
95,13:21.8h,,Rodgers KWEMOI,03 MAR 1998,KEN,2f2,,"Nyayo National Stadium, Nairobi (KEN)",27 FEB 2021,1131
96,13:21.81,,Ryoma AOKI,16 JUN 1997,JPN,2f3,,"Yanmar Stadium Nagai, Osaka (JPN)",26 SEP 2021,1131
97,13:21.90,,Anatoliy RYBAKOV,27 FEB 1985,RUS,2,,"Olympic Stadium, Cheboksary (RUS)",23 JUN 2021,1131
98,13:21.92,,Robin HENDRIX,14 JAN 1995,BEL,2f1,,"VITA Atletiek, Ninove (BEL)",17 JUL 2021,1131
99,13:22.00,,Jonathan Muia NDIKU,18 SEP 1991,KEN,3f3,,"Yanmar Stadium Nagai, Osaka (JPN)",26 SEP 2021,1130
100,13:22.01,,Cosmas Mwangi BOI,12 MAR 2003,KEN,1f8,,"Municipal Stadium, Miyoshi (JPN)",02 OCT 2021,1130
101,13:22.08,,Eric SPEAKMAN,29 AUG 1990,NZL,3f1,,"Irvine, CA (USA)",15 MAY 2021,1130
102,13:22.13,,Kiprono SITONIK,10 NOV 2001,KEN,4f3,,"Yanmar Stadium Nagai, Osaka (JPN)",26 SEP 2021,1130
103,13:22.24,,Abdihamid NUR,14 OCT 1997,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",04 DEC 2021,1179
104,13:22.25,,Kanta SHIMIZU,03 MAY 1996,JPN,5f3,,"Yanmar Stadium Nagai, Osaka (JPN)",26 SEP 2021,1129
105,13:22.38,,Ben TRUE,29 DEC 1985,USA,2,,"Bishop Feehan HS, Boston, MA (USA)",29 MAY 2021,1129
106,13:22.49,,Titus WANBUA,14 AUG 1997,KEN,1f1,,"Athletics Stadium, Shibetsu (JPN)",03 JUL 2021,1129
107,13:22.59,,Nico YOUNG,27 JUL 2002,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",04 DEC 2021,1178
108,13:22.66,,Sydney GIDABUDAY,21 AUG 1996,USA,8,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2021,1128
109,13:23.15,,Habtom SAMUEL,30 NOV 2003,ERI,11,,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1126
110,13:23.30,,Sam PARSONS,18 JUN 1994,GER,4f1,,"Irvine, CA (USA)",15 MAY 2021,1126
111,13:23.48,,Ian SHANKLIN,1998,USA,9,,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1125
112,13:23.50,,Jacob KROP,04 JUN 2001,KEN,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18 SEP 2021,1125
113,13:23.58,,Simon DEBOGNIES,16 JUL 1996,BEL,3f1,,"VITA Atletiek, Ninove (BEL)",17 JUL 2021,1125
114,13:23.69,,Brett ROBINSON,08 MAY 1991,AUS,3f1,,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",02 MAR 2021,1124
115,13:23.78,,Josh KERR,08 OCT 1997,GBR,5f1,,"Irvine, CA (USA)",15 MAY 2021,1124
116,13:23.94,,Hideto KOSODE,05 MAY 1998,JPN,6f3,,"Yanmar Stadium Nagai, Osaka (JPN)",26 SEP 2021,1123
117,13:24.09,,Mogeni Benuel MAGOMA,11 MAR 2001,KEN,7f3,,"Yanmar Stadium Nagai, Osaka (JPN)",26 SEP 2021,1123
118,13:24.17,,Musio SAIDAMU,12 OCT 2000,KEN,1f2,,"Aoba Park Athletic Field, Chitose (JPN)",17 JUL 2021,1123
119,13:24.25,,Kieran LUMB,02 AUG 1998,CAN,2,,"Drake Stadium, Des Moines, IA (USA)",23 APR 2021,1122
120,13:24.34,,Benard KIBET,25 NOV 1999,KEN,8f3,,"Yanmar Stadium Nagai, Osaka (JPN)",26 SEP 2021,1122
121,13:24.46,,Eduardo HERRERA,23 SEP 1997,USA,1,,"Hayward Field, Eugene, OR (USA)",02 APR 2021,1122
122,13:24.66,,Yeneblo BIYAZEN,29 JAN 2000,ETH,9f3,,"Yanmar Stadium Nagai, Osaka (JPN)",26 SEP 2021,1121
123,13:24.68,,Alex Chesiro MASAI,05 FEB 1997,KEN,10,,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1121
124,13:24.78,,Conner MANTZ,08 DEC 1996,USA,2,,"Hayward Field, Eugene, OR (USA)",02 APR 2021,1120
125,13:24.89,,Casey CLINGER,09 OCT 1998,USA,3,,"Hayward Field, Eugene, OR (USA)",02 APR 2021,1120
126,13:24.94,,Mason FERLIC,05 AUG 1993,USA,1,,"Hilmer Lodge Stadium, Walnut, CA (USA)",09 MAY 2021,1120
127,13:24.98,,Kasey KNEVELBAARD,02 SEP 1996,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",04 DEC 2021,1169
128,13:25.17,,Sam GILMAN,20 SEP 2000,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",04 DEC 2021,1168
129,13:25.22,,Amos KURGAT,07 MAR 1992,KEN,2f1,,"Athletics Stadium, Shibetsu (JPN)",03 JUL 2021,1119
130,13:25.30,,Thierry NDIKUMWENAYO,26 MAR 1997,BDI,4,,"Estadio Iberoamericano, Huelva (ESP)",03 JUN 2021,1119
131,13:25.57,,Patrick KINYANJUI,14 SEP 2003,KEN,2f2,,"Aoba Park Athletic Field, Chitose (JPN)",17 JUL 2021,1118
132,13:25.65,,Dylan JACOBS,15 JUN 2000,USA,11,,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1117
133,13:25.72,,Garrett HEATH,03 NOV 1985,USA,6f1,,"Irvine, CA (USA)",15 MAY 2021,1117
134,13:25.76,,Dan KIPLANGAT,04 JUN 1996,KEN,10f3,,"Yanmar Stadium Nagai, Osaka (JPN)",26 SEP 2021,1117
135,13:25.93,,Charles Karanja KAMAU,05 AUG 1997,KEN,3f1,,"Athletics Stadium, Shibetsu (JPN)",03 JUL 2021,1116
136,13:25.96,,Barry KEANE,19 NOV 1997,IRL,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",04 DEC 2021,1165
137,13:26.01,,Levy KIBET,15 OCT 2003,KEN,3,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",19 AUG 2021,1116
138,13:26.02,,Samson NDIRANGU,14 MAY 1994,KEN,4f1,,"Athletics Stadium, Shibetsu (JPN)",03 JUL 2021,1116
139,13:26.11,,Lopez LOMONG,01 JAN 1985,USA,1f1,,"Griswold Stadium, Portland, OR (USA)",29 MAY 2021,1116
140,13:26.17,,Emmanuel KIPCHIRCHIR,27 NOV 2003,KEN,3f2,,"Aoba Park Athletic Field, Chitose (JPN)",17 JUL 2021,1116
