Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
98,8:35.0h,,Silas Kimeli TOO,1993,KEN,2,,Iten (KEN),31 MAY 2014,1100
99,8:35.05,,Tabor STEVENS,21 JUN 1991,USA,1,,"Allendale, MI (USA)",23 MAY 2014,1100
100,8:35.27,,Stanley Kipkoech KEBENEI,06 NOV 1989,KEN,2,,"Eugene, OR (USA)",14 JUN 2014,1099
101,8:35.45,,Luke GUNN,22 MAR 1985,GBR,1f2,,"Los Angeles, CA (USA)",15 MAY 2014,1098
102,8:35.66,,Mustapha HOUDADI,05 AUG 1986,MAR,4,,Fes (MAR),24 MAY 2014,1097
102,8:35.66,,Hakan DUVAR,21 AUG 1990,TUR,1,,Izmir (TUR),19 JUL 2014,1097
104,8:35.67,,Maksim YAKUSHEV,15 MAR 1992,RUS,6f2,,Kazan (RUS),24 JUL 2014,1097
105,8:35.84,,Bilal TABTI,07 JUN 1993,ALG,1,,Algiers (ALG),24 JUN 2014,1097
106,8:36.29,,Boris ZAKHAROV,31 MAR 1984,RUS,7f2,,Kazan (RUS),24 JUL 2014,1095
107,8:36.42,,Artur BURTSEV,23 APR 1988,RUS,5,,Sochi (RUS),29 MAY 2014,1094
108,8:36.81,,Fernando CARRO,01 APR 1992,ESP,1,,Durango (ESP),06 JUL 2014,1092
109,8:37.26,,Viktor BAKHAREV,05 MAY 1994,RUS,8f2,,Kazan (RUS),24 JUL 2014,1090
110,8:37.54,,Curtis CARR,24 MAY 1989,USA,2,,"Walnut, CA (USA)",18 APR 2014,1089
111,8:37.6h,,Hannington KIRUI,29 JUN 1995,KEN,1,,Nairobi (KEN),04 APR 2014,1089
112,8:37.65,,Ryan BROCKERVILLE,29 JUL 1989,CAN,2f2,,"Los Angeles, CA (USA)",15 MAY 2014,1089
113,8:38.15,,Amor BEN YAHIA,01 JUL 1985,TUN,1,,Lens (FRA),18 MAY 2014,1086
113,8:38.15,,Noam NEEMAN,26 JUN 1987,ISR,7,,Dessau (GER),11 JUN 2014,1086
115,8:38.42,,Hillary BOR,22 NOV 1989,KEN,6f1,,"Los Angeles, CA (USA)",15 MAY 2014,1085
116,8:38.59,,Minato YAMASHITA,15 NOV 1988,JPN,3,,Yamaguchi (JPN),11 OCT 2014,1085
117,8:38.68,,Stephen LISGO,29 MAR 1987,GBR,1,,Oordegem (BEL),31 MAY 2014,1084
